batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
KXIP,DD,1,1.1,1,65,72,169,-1,Adam Gilchrist,Mandeep Singh,Morne Morkel,,,,38.552,5,0,Wd,y,7.034,0.311,1.386,1.002,5,5,Australian,Indian,South African,1971-11-14,1991-12-18,1984-10-06,69,2013-04-03 16:41:41.185000
KXIP,DD,1,1.2,1,65,72,169,-1,Adam Gilchrist,Mandeep Singh,Morne Morkel,,,,38.552,0,0,,y,8.182,-0.312,0.254,0.998,70,38,Australian,Indian,South African,1971-11-14,1991-12-18,1984-10-06,69,2013-04-03 16:41:41.185000
KXIP,DD,1,1.3,2,65,72,169,-1,Adam Gilchrist,Mandeep Singh,Morne Morkel,,,,38.418,0,0,,y,6.530,0.099,0.661,0.837,5,5,Australian,Indian,South African,1971-11-14,1991-12-18,1984-10-06,69,2013-04-03 16:41:41.185000
KXIP,DD,1,1.4,3,65,72,169,-1,Adam Gilchrist,Mandeep Singh,Morne Morkel,,,,38.731,0,0,,y,6.880,0.210,0.674,0.718,5,5,Australian,Indian,South African,1971-11-14,1991-12-18,1984-10-06,69,2013-04-03 16:41:41.185000
KXIP,DD,1,1.5,4,65,72,169,-1,Adam Gilchrist,Mandeep Singh,Morne Morkel,,,,38.954,0,0,,y,8.779,-0.122,0.467,0.957,52,46,Australian,Indian,South African,1971-11-14,1991-12-18,1984-10-06,69,2013-04-03 16:41:41.185000
KXIP,DD,1,1.6,5,65,72,169,-1,Adam Gilchrist,Mandeep Singh,Morne Morkel,,,,41.274,0,0,,y,9.008,-0.220,0.599,1.330,5,5,Australian,Indian,South African,1971-11-14,1991-12-18,1984-10-06,69,2013-04-03 16:41:41.185000
KXIP,DD,1,1.7,6,65,72,169,-1,Adam Gilchrist,Mandeep Singh,Morne Morkel,,,,41.211,0,0,,y,5.889,0.238,0.862,0.639,5,5,Australian,Indian,South African,1971-11-14,1991-12-18,1984-10-06,69,2013-04-03 16:41:41.185000
KXIP,DD,1,2.1,1,72,65,59,72,Mandeep Singh,Adam Gilchrist,Umesh Yadav,c Naman Ojha b Umesh Yadav,Mandeep Singh,caught keeper,39.712,0,0,,y,8.572,-0.353,-0.503,0.989,0,0,Indian,Australian,Indian,1991-12-18,1971-11-14,1987-10-25,69,2013-04-03 16:41:41.185000
KXIP,DD,1,2.2,2,75,65,59,-1,Paul Valthaty,Adam Gilchrist,Umesh Yadav,,,,39.424,0,0,,y,5.122,-0.275,-0.256,0.641,34,41,Indian,Australian,Indian,1983-12-07,1971-11-14,1987-10-25,69,2013-04-03 16:41:41.185000
KXIP,DD,1,2.3,3,75,65,59,-1,Paul Valthaty,Adam Gilchrist,Umesh Yadav,,,,38.811,0,0,,y,6.574,-0.183,-0.087,0.661,54,46,Indian,Australian,Indian,1983-12-07,1971-11-14,1987-10-25,69,2013-04-03 16:41:41.185000
KXIP,DD,1,2.4,4,75,65,59,-1,Paul Valthaty,Adam Gilchrist,Umesh Yadav,,,,38.552,0,0,,y,9.882,-0.534,-1.060,1.144,5,5,Indian,Australian,Indian,1983-12-07,1971-11-14,1987-10-25,69,2013-04-03 16:41:41.185000
KXIP,DD,1,2.5,5,75,65,59,-1,Paul Valthaty,Adam Gilchrist,Umesh Yadav,,,,40.381,0,0,,y,4.494,-0.498,-0.660,0.544,5,5,Indian,Australian,Indian,1983-12-07,1971-11-14,1987-10-25,69,2013-04-03 16:41:41.185000
KXIP,DD,1,2.6,6,75,65,59,-1,Paul Valthaty,Adam Gilchrist,Umesh Yadav,,,,39.578,0,0,,y,7.985,-0.442,-0.530,0.919,33,27,Indian,Australian,Indian,1983-12-07,1971-11-14,1987-10-25,69,2013-04-03 16:41:41.185000
KXIP,DD,1,3.1,1,65,75,169,-1,Adam Gilchrist,Paul Valthaty,Morne Morkel,,,,40.694,1,1,,y,9.439,0.337,-0.341,1.331,24,17,Australian,Indian,South African,1971-11-14,1983-12-07,1984-10-06,69,2013-04-03 16:41:41.185000
