batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
MI,PWI,1,1.1,1,209,97,125,-1,James Franklin,Sachin Tendulkar,Murali Kartik,,,,22.846,0,0,,y,5.229,0.209,0.165,0.577,48,40,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,1.2,2,209,97,125,-1,James Franklin,Sachin Tendulkar,Murali Kartik,,,,25.052,2,2,,y,6.653,-0.359,-0.184,0.418,10,27,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,1.3,3,209,97,125,-1,James Franklin,Sachin Tendulkar,Murali Kartik,,,,24.402,1,1,,y,6.428,-0.139,0.091,0.543,12,41,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,1.4,4,97,209,125,-1,Sachin Tendulkar,James Franklin,Murali Kartik,,,,25.809,0,0,,y,4.589,-0.271,-0.169,0.486,5,5,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,1.5,5,97,209,125,-1,Sachin Tendulkar,James Franklin,Murali Kartik,,,,24.015,1,1,,y,6.266,-0.165,-0.072,0.433,82,42,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,1.6,6,209,97,125,-1,James Franklin,Sachin Tendulkar,Murali Kartik,,,,25.871,0,0,,y,3.179,0.172,0.353,0.481,50,40,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,2.1,1,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.392,0,0,,y,4.482,-0.293,-0.392,0.400,40,55,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,2.2,2,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,36.544,0,0,,y,7.080,-0.314,-0.482,0.570,35,38,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,2.3,3,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.300,0,0,,y,7.470,-0.338,-0.523,0.484,33,37,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,2.4,4,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.747,0,0,,y,6.914,-0.178,-0.045,0.542,57,51,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,2.5,5,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,36.735,0,0,,y,8.576,-0.026,0.297,0.756,60,22,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,2.6,6,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.579,0,0,,y,9.408,-0.289,-0.036,0.553,39,51,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,3.1,1,209,97,223,-1,James Franklin,Sachin Tendulkar,Wayne Parnell,,,,38.528,0,0,,y,8.157,0.346,0.333,0.644,49,38,New Zealander,Indian,South African,1980-11-07,1973-04-24,1989-07-30,45,2013-04-03 16:41:35.996000
MI,PWI,1,3.2,2,209,97,223,-1,James Franklin,Sachin Tendulkar,Wayne Parnell,,,,39.004,1,1,,y,6.706,0.233,0.153,0.526,44,63,New Zealander,Indian,South African,1980-11-07,1973-04-24,1989-07-30,45,2013-04-03 16:41:35.996000
MI,PWI,1,3.3,3,97,209,223,-1,Sachin Tendulkar,James Franklin,Wayne Parnell,,,,35.825,1,1,,y,7.890,-0.070,-0.420,0.805,35,50,Indian,New Zealander,South African,1973-04-24,1980-11-07,1989-07-30,45,2013-04-03 16:41:35.996000
MI,PWI,1,3.4,4,209,97,223,-1,James Franklin,Sachin Tendulkar,Wayne Parnell,,,,40.102,0,0,,y,10.226,0.365,0.395,0.915,5,5,New Zealander,Indian,South African,1980-11-07,1973-04-24,1989-07-30,45,2013-04-03 16:41:35.996000
MI,PWI,1,3.5,5,209,97,223,-1,James Franklin,Sachin Tendulkar,Wayne Parnell,,,,39.270,0,0,,y,10.264,0.291,0.393,0.904,62,28,New Zealander,Indian,South African,1980-11-07,1973-04-24,1989-07-30,45,2013-04-03 16:41:35.996000
MI,PWI,1,3.6,6,209,97,223,-1,James Franklin,Sachin Tendulkar,Wayne Parnell,,,,39.931,1,0,Nb,y,9.765,0.374,0.350,1.049,65,28,New Zealander,Indian,South African,1980-11-07,1973-04-24,1989-07-30,45,2013-04-03 16:41:35.996000
MI,PWI,1,3.7,6,209,97,223,-1,James Franklin,Sachin Tendulkar,Wayne Parnell,,,,38.995,4,4,,y,5.560,0.014,-0.218,0.419,15,70,New Zealander,Indian,South African,1980-11-07,1973-04-24,1989-07-30,45,2013-04-03 16:41:35.996000
MI,PWI,1,4.1,1,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.157,0,0,,y,8.226,-0.017,0.369,0.728,5,5,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,4.2,2,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.254,4,4,,y,7.736,-0.184,0.083,0.707,69,88,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,4.3,3,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.291,4,4,,y,6.676,-0.344,-0.258,0.589,37,91,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,4.4,4,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.948,4,4,,y,-0.419,-0.166,-0.177,0.106,12,20,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,4.5,5,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.623,0,0,,y,7.669,-0.314,-0.198,0.597,33,38,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,4.6,6,97,209,48,-1,Sachin Tendulkar,James Franklin,Ashok Dinda,,,,37.100,1,1,,y,7.926,-0.123,0.185,0.533,84,28,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1984-03-25,45,2013-04-03 16:41:35.996000
MI,PWI,1,5.1,1,97,209,116,-1,Sachin Tendulkar,James Franklin,Bhuvneshwar Kumar,,,,36.961,1,1,,y,7.589,-0.473,-0.274,0.571,40,55,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,5.2,2,209,97,116,-1,James Franklin,Sachin Tendulkar,Bhuvneshwar Kumar,,,,37.206,1,0,Lb,y,8.153,-0.268,-0.024,0.555,5,5,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,5.3,3,97,209,116,-1,Sachin Tendulkar,James Franklin,Bhuvneshwar Kumar,,,,33.662,0,0,,y,7.567,-0.061,0.234,0.710,48,38,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,5.4,4,97,209,116,-1,Sachin Tendulkar,James Franklin,Bhuvneshwar Kumar,,,,36.358,1,1,,y,8.528,-0.541,-0.431,0.513,36,25,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,5.5,5,209,97,116,-1,James Franklin,Sachin Tendulkar,Bhuvneshwar Kumar,,,,33.572,0,0,,y,9.489,-0.111,0.478,0.561,63,34,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,5.6,6,209,97,116,-1,James Franklin,Sachin Tendulkar,Bhuvneshwar Kumar,,,,33.033,1,1,,y,7.030,-0.126,0.087,0.674,32,40,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,6.1,1,209,97,115,-1,James Franklin,Sachin Tendulkar,Ashish Nehra,,,,37.352,0,0,,y,9.425,0.241,-0.096,0.831,37,36,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1979-04-29,45,2013-04-03 16:41:35.996000
MI,PWI,1,6.2,2,209,97,115,-1,James Franklin,Sachin Tendulkar,Ashish Nehra,,,,37.654,6,6,,y,6.972,0.259,-0.073,0.634,8,77,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1979-04-29,45,2013-04-03 16:41:35.996000
MI,PWI,1,6.3,3,209,97,115,-1,James Franklin,Sachin Tendulkar,Ashish Nehra,,,,37.906,0,0,,y,9.131,0.479,0.270,0.814,64,30,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1979-04-29,45,2013-04-03 16:41:35.996000
MI,PWI,1,6.4,4,209,97,115,-1,James Franklin,Sachin Tendulkar,Ashish Nehra,,,,36.366,4,4,,y,9.877,0.520,0.255,1.163,61,6,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1979-04-29,45,2013-04-03 16:41:35.996000
MI,PWI,1,6.5,5,209,97,115,-1,James Franklin,Sachin Tendulkar,Ashish Nehra,,,,36.567,4,4,,y,9.575,0.401,-0.059,1.020,9,53,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1979-04-29,45,2013-04-03 16:41:35.996000
MI,PWI,1,6.6,6,209,97,115,-1,James Franklin,Sachin Tendulkar,Ashish Nehra,,,,37.689,0,0,,y,9.585,0.521,0.249,1.028,66,33,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1979-04-29,45,2013-04-03 16:41:35.996000
MI,PWI,1,7.1,1,97,209,125,-1,Sachin Tendulkar,James Franklin,Murali Kartik,,,,26.242,1,1,,y,4.103,-0.012,0.119,0.516,84,34,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,7.2,2,209,97,125,-1,James Franklin,Sachin Tendulkar,Murali Kartik,,,,24.066,1,1,,y,5.377,0.542,0.680,0.700,66,27,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,7.3,3,97,209,125,-1,Sachin Tendulkar,James Franklin,Murali Kartik,,,,26.243,1,1,,y,5.267,0.131,0.283,0.643,62,23,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,7.4,4,209,97,125,-1,James Franklin,Sachin Tendulkar,Murali Kartik,,,,28.790,1,1,,y,6.981,-0.045,0.340,0.644,68,71,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,7.5,5,97,209,125,-1,Sachin Tendulkar,James Franklin,Murali Kartik,,,,27.415,2,2,,y,5.419,-0.115,-0.065,0.650,18,68,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,7.6,6,97,209,125,-1,Sachin Tendulkar,James Franklin,Murali Kartik,,,,26.566,1,1,,y,6.207,-0.323,-0.452,0.652,64,23,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1976-09-11,45,2013-04-03 16:41:35.996000
MI,PWI,1,8.1,1,97,209,116,-1,Sachin Tendulkar,James Franklin,Bhuvneshwar Kumar,,,,36.870,0,0,,y,7.608,-0.140,0.216,0.667,60,38,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,8.2,2,97,209,116,-1,Sachin Tendulkar,James Franklin,Bhuvneshwar Kumar,,,,36.622,1,1,,y,11.429,-0.496,0.192,0.992,48,34,Indian,New Zealander,Indian,1973-04-24,1980-11-07,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,8.3,3,209,97,116,-1,James Franklin,Sachin Tendulkar,Bhuvneshwar Kumar,,,,33.411,0,0,,y,9.178,-0.023,0.433,0.430,56,43,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,8.4,4,209,97,116,209,James Franklin,Sachin Tendulkar,Bhuvneshwar Kumar,c Mithun Manhas b Bhuvneshwar Kumar,James Franklin,caught fielder,35.888,0,0,,y,9.841,-0.107,0.478,0.990,0,0,New Zealander,Indian,Indian,1980-11-07,1973-04-24,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,8.5,5,97,107,116,-1,Sachin Tendulkar,Rohit Sharma,Bhuvneshwar Kumar,,,,37.143,1,1,,y,9.567,-0.323,0.045,0.743,66,68,Indian,Indian,Indian,1973-04-24,1987-04-30,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,8.6,6,107,97,116,-1,Rohit Sharma,Sachin Tendulkar,Bhuvneshwar Kumar,,,,36.924,1,1,,y,9.206,-0.222,0.279,0.563,80,31,Indian,Indian,Indian,1987-04-30,1973-04-24,1990-12-05,45,2013-04-03 16:41:35.996000
MI,PWI,1,9.1,1,107,97,286,-1,Rohit Sharma,Sachin Tendulkar,Michael Clarke,,,,24.467,1,1,,y,3.688,-0.253,-0.538,0.361,36,40,Indian,Indian,Australian,1987-04-30,1973-04-24,1981-04-02,45,2013-04-03 16:41:35.996000
MI,PWI,1,9.2,2,97,107,286,-1,Sachin Tendulkar,Rohit Sharma,Michael Clarke,,,,23.771,1,0,Lb,y,5.461,-0.055,0.238,0.553,5,5,Indian,Indian,Australian,1973-04-24,1987-04-30,1981-04-02,45,2013-04-03 16:41:35.996000
