batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
CSK,PWI,1,1.1,1,24,12,125,-1,Francois du Plessis,Subramaniam Badrinath,Murali Kartik,,,,23.783,0,0,,y,4.697,-0.095,-0.431,0.491,34,28,South African,Indian,Indian,1984-07-13,1980-08-30,1976-09-11,24,2013-04-03 16:41:31.026000
CSK,PWI,1,1.2,2,24,12,125,-1,Francois du Plessis,Subramaniam Badrinath,Murali Kartik,,,,24.854,1,1,,y,6.426,0.078,0.251,0.535,75,46,South African,Indian,Indian,1984-07-13,1980-08-30,1976-09-11,24,2013-04-03 16:41:31.026000
CSK,PWI,1,1.3,3,12,24,125,-1,Subramaniam Badrinath,Francois du Plessis,Murali Kartik,,,,22.316,0,0,,y,5.522,-0.406,-0.746,0.679,36,28,Indian,South African,Indian,1980-08-30,1984-07-13,1976-09-11,24,2013-04-03 16:41:31.026000
CSK,PWI,1,1.4,4,12,24,125,-1,Subramaniam Badrinath,Francois du Plessis,Murali Kartik,,,,24.067,4,4,,y,6.419,-0.226,-0.323,0.724,13,19,Indian,South African,Indian,1980-08-30,1984-07-13,1976-09-11,24,2013-04-03 16:41:31.026000
CSK,PWI,1,1.5,5,12,24,125,-1,Subramaniam Badrinath,Francois du Plessis,Murali Kartik,,,,22.730,1,1,,y,3.247,-0.032,0.030,0.567,70,47,Indian,South African,Indian,1980-08-30,1984-07-13,1976-09-11,24,2013-04-03 16:41:31.026000
CSK,PWI,1,1.6,6,24,12,125,-1,Francois du Plessis,Subramaniam Badrinath,Murali Kartik,,,,25.387,0,0,,y,6.302,-0.265,-0.305,0.739,34,27,South African,Indian,Indian,1984-07-13,1980-08-30,1976-09-11,24,2013-04-03 16:41:31.026000
CSK,PWI,1,2.1,1,12,24,115,-1,Subramaniam Badrinath,Francois du Plessis,Ashish Nehra,,,,36.544,0,0,,y,8.323,-0.225,-0.559,0.832,5,5,Indian,South African,Indian,1980-08-30,1984-07-13,1979-04-29,24,2013-04-03 16:41:31.026000
CSK,PWI,1,2.2,2,12,24,115,-1,Subramaniam Badrinath,Francois du Plessis,Ashish Nehra,,,,38.106,0,0,,y,7.240,0.008,-0.007,0.773,5,5,Indian,South African,Indian,1980-08-30,1984-07-13,1979-04-29,24,2013-04-03 16:41:31.026000
CSK,PWI,1,2.3,3,12,24,115,-1,Subramaniam Badrinath,Francois du Plessis,Ashish Nehra,,,,36.774,0,0,,y,5.168,-0.101,-0.179,0.355,58,59,Indian,South African,Indian,1980-08-30,1984-07-13,1979-04-29,24,2013-04-03 16:41:31.026000
CSK,PWI,1,2.4,4,12,24,115,-1,Subramaniam Badrinath,Francois du Plessis,Ashish Nehra,,,,38.308,0,0,,y,12.081,0.223,-0.047,1.494,5,5,Indian,South African,Indian,1980-08-30,1984-07-13,1979-04-29,24,2013-04-03 16:41:31.026000
CSK,PWI,1,2.5,5,12,24,115,-1,Subramaniam Badrinath,Francois du Plessis,Ashish Nehra,,,,35.497,1,1,,y,6.961,-0.039,-0.256,0.857,55,50,Indian,South African,Indian,1980-08-30,1984-07-13,1979-04-29,24,2013-04-03 16:41:31.026000
CSK,PWI,1,2.6,6,24,12,115,-1,Francois du Plessis,Subramaniam Badrinath,Ashish Nehra,,,,36.362,1,1,,y,7.352,-0.006,-0.308,0.561,29,13,South African,Indian,Indian,1984-07-13,1980-08-30,1979-04-29,24,2013-04-03 16:41:31.026000
CSK,PWI,1,3.1,1,24,12,125,-1,Francois du Plessis,Subramaniam Badrinath,Murali Kartik,,,,23.938,1,1,,y,5.705,-0.052,-0.015,0.528,68,40,South African,Indian,Indian,1984-07-13,1980-08-30,1976-09-11,24,2013-04-03 16:41:31.026000
CSK,PWI,1,3.2,2,12,24,125,-1,Subramaniam Badrinath,Francois du Plessis,Murali Kartik,,,,23.877,0,0,,y,4.336,0.133,-0.157,0.757,5,5,Indian,South African,Indian,1980-08-30,1984-07-13,1976-09-11,24,2013-04-03 16:41:31.026000
