batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
RCB,PWI,1,1.1,1,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,-1.000,0,0,,y,0.624,-0.211,-0.183,0.146,5,5,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,1.2,2,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,38.017,0,0,,y,7.896,-0.066,0.003,0.669,59,58,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,1.3,3,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,35.512,0,0,,y,10.511,0.154,0.525,0.835,66,27,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,1.4,4,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,34.893,1,1,,y,5.798,0.306,0.413,0.374,33,38,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,1.5,5,240,236,269,-1,Tillakaratne Dilshan,Chris Gayle,Krishnakant Upadhyay,,,,34.447,1,1,,y,9.505,-0.200,-0.100,0.852,71,50,Sri Lankan,West Indian,Indian,1976-10-14,1979-09-21,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,1.6,6,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,-1.000,1,1,,y,7.718,0.191,0.477,0.741,67,12,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,2.1,1,236,240,216,-1,Chris Gayle,Tillakaratne Dilshan,Alfonso Thomas,,,,37.928,2,1,Nb,y,8.681,-0.260,0.007,0.814,42,52,West Indian,Sri Lankan,South African,1979-09-21,1976-10-14,1977-02-09,57,2013-04-03 16:41:39.238000
RCB,PWI,1,2.2,1,240,236,216,-1,Tillakaratne Dilshan,Chris Gayle,Alfonso Thomas,,,,37.372,4,4,,y,6.438,-0.657,-0.732,0.616,11,60,Sri Lankan,West Indian,South African,1976-10-14,1979-09-21,1977-02-09,57,2013-04-03 16:41:39.238000
RCB,PWI,1,2.3,2,240,236,216,-1,Tillakaratne Dilshan,Chris Gayle,Alfonso Thomas,,,,38.151,0,0,,y,8.824,-0.495,-0.428,0.711,32,37,Sri Lankan,West Indian,South African,1976-10-14,1979-09-21,1977-02-09,57,2013-04-03 16:41:39.238000
RCB,PWI,1,2.4,3,240,236,216,-1,Tillakaratne Dilshan,Chris Gayle,Alfonso Thomas,,,,38.006,0,0,,y,7.122,-0.178,0.159,0.566,5,5,Sri Lankan,West Indian,South African,1976-10-14,1979-09-21,1977-02-09,57,2013-04-03 16:41:39.238000
RCB,PWI,1,2.5,4,240,236,216,-1,Tillakaratne Dilshan,Chris Gayle,Alfonso Thomas,,,,37.462,1,1,,y,8.141,-0.384,-0.157,0.682,52,63,Sri Lankan,West Indian,South African,1976-10-14,1979-09-21,1977-02-09,57,2013-04-03 16:41:39.238000
RCB,PWI,1,2.6,5,236,240,216,-1,Chris Gayle,Tillakaratne Dilshan,Alfonso Thomas,,,,38.293,0,0,,y,5.797,0.248,0.662,0.541,5,5,West Indian,Sri Lankan,South African,1979-09-21,1976-10-14,1977-02-09,57,2013-04-03 16:41:39.238000
RCB,PWI,1,2.7,6,236,240,216,-1,Chris Gayle,Tillakaratne Dilshan,Alfonso Thomas,,,,37.690,1,1,,y,6.266,0.104,0.496,0.479,39,55,West Indian,Sri Lankan,South African,1979-09-21,1976-10-14,1977-02-09,57,2013-04-03 16:41:39.238000
RCB,PWI,1,3.1,1,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,35.652,6,6,,y,3.976,0.487,0.861,0.435,93,66,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,3.2,2,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,36.158,0,0,,y,10.131,0.124,0.708,1.069,60,61,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
RCB,PWI,1,3.3,3,236,240,269,-1,Chris Gayle,Tillakaratne Dilshan,Krishnakant Upadhyay,,,,34.715,0,0,,y,10.863,-0.095,0.245,1.060,42,58,West Indian,Sri Lankan,Indian,1979-09-21,1976-10-14,1986-06-18,57,2013-04-03 16:41:39.238000
