batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
PWI,RCB,1,1.1,1,127,220,165,-1,Robin Uthappa,Jesse Ryder,Zaheer Khan,,,,-1.000,1,0,Wd,y,,,,,5,5,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,1.2,1,127,220,165,-1,Robin Uthappa,Jesse Ryder,Zaheer Khan,,,,38.775,0,0,,y,7.235,0.027,-0.291,0.884,5,5,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,1.3,2,127,220,165,-1,Robin Uthappa,Jesse Ryder,Zaheer Khan,,,,36.723,1,1,,y,7.454,0.154,-0.249,0.841,29,40,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,1.4,3,220,127,165,-1,Jesse Ryder,Robin Uthappa,Zaheer Khan,,,,36.464,1,1,,y,7.421,0.151,-0.101,1.061,47,55,New Zealander,Indian,Indian,1984-08-06,1985-11-11,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,1.5,4,127,220,165,-1,Robin Uthappa,Jesse Ryder,Zaheer Khan,,,,36.780,0,0,,y,8.757,-0.011,-0.712,0.952,33,27,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,1.6,5,127,220,165,-1,Robin Uthappa,Jesse Ryder,Zaheer Khan,,,,36.794,1,1,,y,6.622,-0.091,-0.566,0.765,32,18,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,1.7,6,220,127,165,-1,Jesse Ryder,Robin Uthappa,Zaheer Khan,,,,37.535,1,1,,y,6.315,0.269,0.141,0.620,62,55,New Zealander,Indian,Indian,1984-08-06,1985-11-11,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,2.1,1,220,127,240,-1,Jesse Ryder,Robin Uthappa,Tillakaratne Dilshan,,,,24.945,1,1,,y,6.766,0.353,0.149,0.656,62,62,New Zealander,Indian,Sri Lankan,1984-08-06,1985-11-11,1976-10-14,21,2013-04-03 16:41:30.818000
PWI,RCB,1,2.2,2,127,220,240,-1,Robin Uthappa,Jesse Ryder,Tillakaratne Dilshan,,,,25.412,0,0,,y,5.767,-0.425,-0.241,0.773,32,27,Indian,New Zealander,Sri Lankan,1985-11-11,1984-08-06,1976-10-14,21,2013-04-03 16:41:30.818000
PWI,RCB,1,2.3,3,127,220,240,-1,Robin Uthappa,Jesse Ryder,Tillakaratne Dilshan,,,,24.673,6,6,,y,6.017,-0.651,-0.721,0.741,94,52,Indian,New Zealander,Sri Lankan,1985-11-11,1984-08-06,1976-10-14,21,2013-04-03 16:41:30.818000
PWI,RCB,1,2.4,4,127,220,240,-1,Robin Uthappa,Jesse Ryder,Tillakaratne Dilshan,,,,26.208,4,4,,y,6.959,-0.433,-0.226,0.845,8,42,Indian,New Zealander,Sri Lankan,1985-11-11,1984-08-06,1976-10-14,21,2013-04-03 16:41:30.818000
PWI,RCB,1,2.5,5,127,220,240,-1,Robin Uthappa,Jesse Ryder,Tillakaratne Dilshan,,,,25.013,1,1,,y,2.791,-0.364,-0.340,0.607,33,49,Indian,New Zealander,Sri Lankan,1985-11-11,1984-08-06,1976-10-14,21,2013-04-03 16:41:30.818000
PWI,RCB,1,2.6,6,220,127,240,-1,Jesse Ryder,Robin Uthappa,Tillakaratne Dilshan,,,,25.585,1,1,,y,4.022,-0.044,-0.176,0.656,33,48,New Zealander,Indian,Sri Lankan,1984-08-06,1985-11-11,1976-10-14,21,2013-04-03 16:41:30.818000
PWI,RCB,1,3.1,1,220,127,165,-1,Jesse Ryder,Robin Uthappa,Zaheer Khan,,,,36.906,2,2,,y,7.260,0.322,0.043,0.885,14,48,New Zealander,Indian,Indian,1984-08-06,1985-11-11,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,3.2,2,220,127,165,-1,Jesse Ryder,Robin Uthappa,Zaheer Khan,,,,36.682,4,4,,y,7.377,0.526,0.557,0.816,62,92,New Zealander,Indian,Indian,1984-08-06,1985-11-11,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,3.3,3,220,127,165,-1,Jesse Ryder,Robin Uthappa,Zaheer Khan,,,,33.414,1,1,,y,10.054,0.034,-0.630,1.211,45,28,New Zealander,Indian,Indian,1984-08-06,1985-11-11,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,3.4,4,127,220,165,-1,Robin Uthappa,Jesse Ryder,Zaheer Khan,,,,38.247,1,1,,y,7.249,0.002,-0.367,0.861,32,13,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,3.5,5,220,127,165,-1,Jesse Ryder,Robin Uthappa,Zaheer Khan,,,,37.166,4,4,,y,7.777,0.337,0.062,0.865,92,55,New Zealander,Indian,Indian,1984-08-06,1985-11-11,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,3.6,6,220,127,165,-1,Jesse Ryder,Robin Uthappa,Zaheer Khan,,,,34.573,0,0,,y,6.515,0.363,0.223,0.793,5,5,New Zealander,Indian,Indian,1984-08-06,1985-11-11,1978-10-07,21,2013-04-03 16:41:30.818000
PWI,RCB,1,4.1,1,127,220,166,-1,Robin Uthappa,Jesse Ryder,Vinay Kumar,,,,37.887,0,0,,y,8.958,-0.445,-0.343,1.107,34,25,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1984-02-12,21,2013-04-03 16:41:30.818000
PWI,RCB,1,4.2,2,127,220,166,-1,Robin Uthappa,Jesse Ryder,Vinay Kumar,,,,36.646,0,0,,y,6.428,-0.234,-0.154,0.491,49,42,Indian,New Zealander,Indian,1985-11-11,1984-08-06,1984-02-12,21,2013-04-03 16:41:30.818000
