batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
DC,DD,1,1.1,1,185,41,177,-1,Daniel Harris,Shikhar Dhawan,Andre Russell,,,,35.652,0,0,,y,3.749,-0.707,-0.578,0.451,35,38,Australian,Indian,West Indian,1975-12-31,1985-12-05,1988-04-29,55,2013-04-03 16:41:39.697000
DC,DD,1,1.2,2,185,41,177,-1,Daniel Harris,Shikhar Dhawan,Andre Russell,,,,36.972,4,4,,y,4.300,-0.459,-0.348,0.335,13,66,Australian,Indian,West Indian,1975-12-31,1985-12-05,1988-04-29,55,2013-04-03 16:41:39.697000
DC,DD,1,1.3,3,185,41,177,-1,Daniel Harris,Shikhar Dhawan,Andre Russell,,,,35.786,0,0,,y,9.454,-0.532,-0.326,0.577,5,5,Australian,Indian,West Indian,1975-12-31,1985-12-05,1988-04-29,55,2013-04-03 16:41:39.697000
DC,DD,1,1.4,4,185,41,177,-1,Daniel Harris,Shikhar Dhawan,Andre Russell,,,,40.353,0,0,,y,2.869,-0.456,-0.438,0.095,34,42,Australian,Indian,West Indian,1975-12-31,1985-12-05,1988-04-29,55,2013-04-03 16:41:39.697000
DC,DD,1,1.5,5,185,41,177,-1,Daniel Harris,Shikhar Dhawan,Andre Russell,,,,34.402,4,4,,y,4.700,-0.344,-0.261,0.443,58,92,Australian,Indian,West Indian,1975-12-31,1985-12-05,1988-04-29,55,2013-04-03 16:41:39.697000
DC,DD,1,1.6,6,185,41,177,-1,Daniel Harris,Shikhar Dhawan,Andre Russell,,,,-1.000,0,0,,y,,,,,5,5,Australian,Indian,West Indian,1975-12-31,1985-12-05,1988-04-29,55,2013-04-03 16:41:39.697000
DC,DD,1,2.1,1,41,185,49,-1,Shikhar Dhawan,Daniel Harris,Irfan Pathan,,,,36.812,0,0,,y,7.210,0.216,0.172,0.761,64,39,Indian,Australian,Indian,1985-12-05,1975-12-31,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,2.2,2,41,185,49,-1,Shikhar Dhawan,Daniel Harris,Irfan Pathan,,,,36.455,0,0,,y,7.210,0.216,0.172,0.761,66,43,Indian,Australian,Indian,1985-12-05,1975-12-31,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,2.3,3,41,185,49,-1,Shikhar Dhawan,Daniel Harris,Irfan Pathan,,,,35.696,0,0,,y,7.210,0.216,0.172,0.761,44,57,Indian,Australian,Indian,1985-12-05,1975-12-31,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,2.4,4,41,185,49,-1,Shikhar Dhawan,Daniel Harris,Irfan Pathan,,,,35.340,0,0,,y,5.514,0.323,-0.727,0.435,42,56,Indian,Australian,Indian,1985-12-05,1975-12-31,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,2.5,5,41,185,49,-1,Shikhar Dhawan,Daniel Harris,Irfan Pathan,,,,38.102,4,4,,y,6.079,0.318,0.216,0.470,72,86,Indian,Australian,Indian,1985-12-05,1975-12-31,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,2.6,6,41,185,49,-1,Shikhar Dhawan,Daniel Harris,Irfan Pathan,,,,36.009,4,4,,y,6.191,-0.026,-0.123,0.700,22,12,Indian,Australian,Indian,1985-12-05,1975-12-31,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,3.1,1,185,41,169,-1,Daniel Harris,Shikhar Dhawan,Morne Morkel,,,,38.463,1,1,,y,9.535,-0.670,-0.563,0.994,21,16,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,3.2,2,41,185,169,-1,Shikhar Dhawan,Daniel Harris,Morne Morkel,,,,39.266,1,1,,y,4.962,0.101,0.455,0.492,68,12,Indian,Australian,South African,1985-12-05,1975-12-31,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,3.3,3,185,41,169,-1,Daniel Harris,Shikhar Dhawan,Morne Morkel,,,,40.783,0,0,,y,7.762,-0.273,-0.060,0.960,50,42,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,3.4,4,185,41,169,-1,Daniel Harris,Shikhar Dhawan,Morne Morkel,,,,39.709,1,1,,y,4.271,-0.198,-0.025,0.339,45,35,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,3.5,5,41,185,169,-1,Shikhar Dhawan,Daniel Harris,Morne Morkel,,,,38.758,0,0,,y,8.163,-0.197,0.094,0.961,33,37,Indian,Australian,South African,1985-12-05,1975-12-31,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,3.6,6,41,185,169,-1,Shikhar Dhawan,Daniel Harris,Morne Morkel,,,,41.006,0,0,,y,3.833,-0.035,0.154,0.222,59,59,Indian,Australian,South African,1985-12-05,1975-12-31,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,4.1,1,185,41,61,-1,Daniel Harris,Shikhar Dhawan,Varun Aaron,,,,36.416,0,0,,y,9.050,-0.422,-0.073,0.856,45,28,Australian,Indian,Indian,1975-12-31,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,4.2,2,185,41,61,-1,Daniel Harris,Shikhar Dhawan,Varun Aaron,,,,39.311,4,4,,y,9.987,-0.416,-0.213,1.264,46,6,Australian,Indian,Indian,1975-12-31,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,4.3,3,185,41,61,-1,Daniel Harris,Shikhar Dhawan,Varun Aaron,,,,39.247,1,1,,y,9.367,-0.357,-0.312,0.898,38,10,Australian,Indian,Indian,1975-12-31,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,4.4,4,41,185,61,-1,Shikhar Dhawan,Daniel Harris,Varun Aaron,,,,40.537,0,0,,y,10.851,0.899,0.628,0.998,71,35,Indian,Australian,Indian,1985-12-05,1975-12-31,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,4.5,5,41,185,61,-1,Shikhar Dhawan,Daniel Harris,Varun Aaron,,,,39.534,0,0,,y,10.517,0.566,0.185,1.232,5,5,Indian,Australian,Indian,1985-12-05,1975-12-31,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,4.6,6,41,185,61,-1,Shikhar Dhawan,Daniel Harris,Varun Aaron,,,,38.706,0,0,,y,8.528,0.490,0.297,1.019,5,5,Indian,Australian,Indian,1985-12-05,1975-12-31,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,5.1,1,185,41,169,-1,Daniel Harris,Shikhar Dhawan,Morne Morkel,,,,39.615,0,0,,y,3.590,-0.226,-0.145,0.258,48,42,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,5.2,2,185,41,169,-1,Daniel Harris,Shikhar Dhawan,Morne Morkel,,,,38.327,4,4,,y,7.227,-0.785,-0.761,0.914,41,7,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,5.3,3,185,41,169,-1,Daniel Harris,Shikhar Dhawan,Morne Morkel,,,,35.112,0,0,,y,10.078,-0.586,-0.102,0.312,45,34,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,5.4,4,185,41,169,-1,Daniel Harris,Shikhar Dhawan,Morne Morkel,,,,-1.000,0,0,,y,9.589,-0.434,-0.134,1.228,33,37,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,5.5,5,185,41,169,185,Daniel Harris,Shikhar Dhawan,Morne Morkel,c Mahela Jayawardene b Morne Morkel,Daniel Harris,caught fielder,36.086,0,0,,y,8.316,-0.675,-0.499,0.979,0,0,Australian,Indian,South African,1975-12-31,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,5.6,6,27,41,169,-1,Kumar Sangakkara,Shikhar Dhawan,Morne Morkel,,,,40.269,0,0,,y,6.545,-0.161,0.203,0.743,55,44,Sri Lankan,Indian,South African,1977-10-27,1985-12-05,1984-10-06,55,2013-04-03 16:41:39.697000
DC,DD,1,6.1,1,41,27,61,-1,Shikhar Dhawan,Kumar Sangakkara,Varun Aaron,,,,39.724,1,1,,y,6.612,0.467,0.178,0.599,70,11,Indian,Sri Lankan,Indian,1985-12-05,1977-10-27,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,6.2,2,27,41,61,-1,Kumar Sangakkara,Shikhar Dhawan,Varun Aaron,,,,37.571,0,0,,y,10.074,0.571,0.096,1.199,56,38,Sri Lankan,Indian,Indian,1977-10-27,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,6.3,3,27,41,61,-1,Kumar Sangakkara,Shikhar Dhawan,Varun Aaron,,,,38.329,4,4,,y,5.108,0.452,0.409,0.532,92,51,Sri Lankan,Indian,Indian,1977-10-27,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,6.4,4,27,41,61,-1,Kumar Sangakkara,Shikhar Dhawan,Varun Aaron,,,,38.284,0,0,,y,1.149,0.565,0.540,0.193,64,24,Sri Lankan,Indian,Indian,1977-10-27,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,6.5,5,27,41,61,27,Kumar Sangakkara,Shikhar Dhawan,Varun Aaron,c Shahbaz Nadeem b Varun Aaron,Kumar Sangakkara,caught fielder,37.972,0,0,,y,11.145,0.717,0.704,1.527,0,0,Sri Lankan,Indian,Indian,1977-10-27,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,6.6,6,178,41,61,-1,Cameron White,Shikhar Dhawan,Varun Aaron,,,,41.420,0,0,,y,6.785,-0.034,0.221,0.638,62,43,Australian,Indian,Indian,1983-08-18,1985-12-05,1989-10-29,55,2013-04-03 16:41:39.697000
DC,DD,1,7.1,1,41,178,49,-1,Shikhar Dhawan,Cameron White,Irfan Pathan,,,,34.296,0,0,,y,10.235,0.206,0.099,0.891,67,45,Indian,Australian,Indian,1985-12-05,1983-08-18,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,7.2,2,41,178,49,-1,Shikhar Dhawan,Cameron White,Irfan Pathan,,,,34.182,1,1,,y,6.889,0.379,0.304,0.718,60,60,Indian,Australian,Indian,1985-12-05,1983-08-18,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,7.3,3,178,41,49,-1,Cameron White,Shikhar Dhawan,Irfan Pathan,,,,37.214,0,0,,y,11.426,-0.072,-0.161,0.936,46,32,Australian,Indian,Indian,1983-08-18,1985-12-05,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,7.4,4,178,41,49,-1,Cameron White,Shikhar Dhawan,Irfan Pathan,,,,34.635,0,0,,y,7.893,-0.212,-0.819,0.807,5,5,Australian,Indian,Indian,1983-08-18,1985-12-05,1984-10-27,55,2013-04-03 16:41:39.697000
DC,DD,1,7.5,5,178,41,49,-1,Cameron White,Shikhar Dhawan,Irfan Pathan,,,,37.185,4,4,,y,7.803,0.156,0.178,0.991,62,7,Australian,Indian,Indian,1983-08-18,1985-12-05,1984-10-27,55,2013-04-03 16:41:39.697000
