batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
DC,PWI,1,1.1,1,44,41,272,44,Parthiv Patel,Shikhar Dhawan,Marlon Samuels,b Marlon Samuels,Parthiv Patel,bowled,27.174,0,0,,y,4.877,0.419,0.445,0.520,51,29,Indian,Indian,West Indian,1985-03-09,1985-12-05,1981-01-05,42,2013-04-03 16:41:35.440000
DC,PWI,1,1.2,2,178,41,272,-1,Cameron White,Shikhar Dhawan,Marlon Samuels,,,,23.905,2,2,,y,6.662,-0.261,0.216,0.525,78,46,Australian,Indian,West Indian,1983-08-18,1985-12-05,1981-01-05,42,2013-04-03 16:41:35.440000
DC,PWI,1,1.3,3,178,41,272,-1,Cameron White,Shikhar Dhawan,Marlon Samuels,,,,26.930,0,0,,y,5.567,-0.687,-0.430,0.615,47,38,Australian,Indian,West Indian,1983-08-18,1985-12-05,1981-01-05,42,2013-04-03 16:41:35.440000
DC,PWI,1,1.4,4,178,41,272,-1,Cameron White,Shikhar Dhawan,Marlon Samuels,,,,-1.000,1,1,,y,5.567,-0.687,-0.430,0.615,59,69,Australian,Indian,West Indian,1983-08-18,1985-12-05,1981-01-05,42,2013-04-03 16:41:35.440000
DC,PWI,1,1.5,5,41,178,272,-1,Shikhar Dhawan,Cameron White,Marlon Samuels,,,,-1.000,0,0,,y,,,,,67,46,Indian,Australian,West Indian,1985-12-05,1983-08-18,1981-01-05,42,2013-04-03 16:41:35.440000
DC,PWI,1,1.6,6,41,178,272,-1,Shikhar Dhawan,Cameron White,Marlon Samuels,,,,-1.000,1,1,,y,,,,,70,56,Indian,Australian,West Indian,1985-12-05,1983-08-18,1981-01-05,42,2013-04-03 16:41:35.440000
DC,PWI,1,2.1,1,41,178,223,-1,Shikhar Dhawan,Cameron White,Wayne Parnell,,,,38.865,0,0,,y,0.238,0.055,0.050,0.065,43,55,Indian,Australian,South African,1985-12-05,1983-08-18,1989-07-30,42,2013-04-03 16:41:35.440000
DC,PWI,1,2.2,2,41,178,223,-1,Shikhar Dhawan,Cameron White,Wayne Parnell,,,,37.660,0,0,,y,6.333,0.236,0.118,0.549,56,35,Indian,Australian,South African,1985-12-05,1983-08-18,1989-07-30,42,2013-04-03 16:41:35.440000
DC,PWI,1,2.3,3,41,178,223,-1,Shikhar Dhawan,Cameron White,Wayne Parnell,,,,39.162,0,0,,y,4.250,0.198,0.093,0.462,52,43,Indian,Australian,South African,1985-12-05,1983-08-18,1989-07-30,42,2013-04-03 16:41:35.440000
DC,PWI,1,2.4,4,41,178,223,-1,Shikhar Dhawan,Cameron White,Wayne Parnell,,,,40.254,0,0,,y,7.804,0.209,0.055,0.720,51,42,Indian,Australian,South African,1985-12-05,1983-08-18,1989-07-30,42,2013-04-03 16:41:35.440000
