batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
DC,PWI,1,1.1,1,44,41,115,-1,Parthiv Patel,Shikhar Dhawan,Ashish Nehra,,,,24.274,0,0,,y,5.691,0.235,0.268,0.516,66,36,Indian,Indian,Indian,1985-03-09,1985-12-05,1979-04-29,35,2013-04-03 16:41:33.991000
DC,PWI,1,1.2,2,44,41,115,-1,Parthiv Patel,Shikhar Dhawan,Ashish Nehra,,,,23.069,4,4,,y,4.786,0.117,-0.029,0.394,11,63,Indian,Indian,Indian,1985-03-09,1985-12-05,1979-04-29,35,2013-04-03 16:41:33.991000
DC,PWI,1,1.3,3,44,41,115,-1,Parthiv Patel,Shikhar Dhawan,Ashish Nehra,,,,38.640,4,4,,y,8.372,0.478,0.571,0.823,92,25,Indian,Indian,Indian,1985-03-09,1985-12-05,1979-04-29,35,2013-04-03 16:41:33.991000
DC,PWI,1,1.4,4,44,41,115,-1,Parthiv Patel,Shikhar Dhawan,Ashish Nehra,,,,38.787,3,0,Lb,y,7.277,0.168,-0.084,0.721,5,5,Indian,Indian,Indian,1985-03-09,1985-12-05,1979-04-29,35,2013-04-03 16:41:33.991000
DC,PWI,1,1.5,5,41,44,115,-1,Shikhar Dhawan,Parthiv Patel,Ashish Nehra,,,,37.702,4,4,,y,9.029,0.357,0.243,0.845,92,50,Indian,Indian,Indian,1985-12-05,1985-03-09,1979-04-29,35,2013-04-03 16:41:33.991000
DC,PWI,1,1.6,6,41,44,115,-1,Shikhar Dhawan,Parthiv Patel,Ashish Nehra,,,,37.911,1,1,,y,7.908,0.227,-0.130,0.708,35,34,Indian,Indian,Indian,1985-12-05,1985-03-09,1979-04-29,35,2013-04-03 16:41:33.991000
DC,PWI,1,2.1,1,41,44,216,-1,Shikhar Dhawan,Parthiv Patel,Alfonso Thomas,,,,36.857,1,1,,y,8.857,-0.341,-0.277,0.975,39,20,Indian,Indian,South African,1985-12-05,1985-03-09,1977-02-09,35,2013-04-03 16:41:33.991000
DC,PWI,1,2.2,2,44,41,216,-1,Parthiv Patel,Shikhar Dhawan,Alfonso Thomas,,,,33.242,1,1,,y,4.832,0.326,0.595,0.522,68,35,Indian,Indian,South African,1985-03-09,1985-12-05,1977-02-09,35,2013-04-03 16:41:33.991000
DC,PWI,1,2.3,3,41,44,216,-1,Shikhar Dhawan,Parthiv Patel,Alfonso Thomas,,,,36.990,0,0,,y,7.044,-0.196,0.016,0.733,61,43,Indian,Indian,South African,1985-12-05,1985-03-09,1977-02-09,35,2013-04-03 16:41:33.991000
DC,PWI,1,2.4,4,41,44,216,-1,Shikhar Dhawan,Parthiv Patel,Alfonso Thomas,,,,37.214,1,1,,y,8.550,-0.303,0.123,0.932,64,45,Indian,Indian,South African,1985-12-05,1985-03-09,1977-02-09,35,2013-04-03 16:41:33.991000
