batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
RCB,KXIP,1,1.1,1,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,-1.000,0,0,,y,9.745,-0.575,-0.804,0.744,31,39,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,1.2,2,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,36.527,4,4,,y,8.071,-0.333,-0.419,0.912,11,23,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,1.3,3,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,35.432,1,1,,y,6.270,-0.191,-0.073,0.612,64,47,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,1.4,4,236,156,194,-1,Chris Gayle,Cheteshwar Pujara,Azhar Mahmood,,,,-1.000,1,1,,n,1.979,0.043,0.041,0.282,66,47,West Indian,Indian,Pakistani,1979-09-21,1988-01-25,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,1.5,5,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,35.027,1,1,,y,6.461,-0.256,-0.124,0.662,71,45,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,1.6,6,236,156,194,-1,Chris Gayle,Cheteshwar Pujara,Azhar Mahmood,,,,28.834,0,0,,n,2.688,0.079,0.222,0.402,5,5,West Indian,Indian,Pakistani,1979-09-21,1988-01-25,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,2.1,1,156,236,1112,-1,Cheteshwar Pujara,Chris Gayle,Sandeep Sharma,,,,-1.000,4,4,,y,5.197,-0.173,0.058,0.506,92,47,Indian,West Indian,Indian,1988-01-25,1979-09-21,1993-05-18,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,2.2,2,156,236,1112,-1,Cheteshwar Pujara,Chris Gayle,Sandeep Sharma,,,,36.455,0,0,,y,3.858,-0.078,0.051,0.479,54,54,Indian,West Indian,Indian,1988-01-25,1979-09-21,1993-05-18,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,2.3,3,156,236,1112,-1,Cheteshwar Pujara,Chris Gayle,Sandeep Sharma,,,,34.679,0,0,,y,5.688,-0.134,0.242,0.588,5,5,Indian,West Indian,Indian,1988-01-25,1979-09-21,1993-05-18,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,2.4,4,156,236,1112,-1,Cheteshwar Pujara,Chris Gayle,Sandeep Sharma,,,,35.128,0,0,,y,4.935,-0.404,-0.158,0.606,48,54,Indian,West Indian,Indian,1988-01-25,1979-09-21,1993-05-18,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,2.5,5,156,236,1112,-1,Cheteshwar Pujara,Chris Gayle,Sandeep Sharma,,,,35.607,1,1,,y,7.781,-0.446,-0.280,0.751,28,14,Indian,West Indian,Indian,1988-01-25,1979-09-21,1993-05-18,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,2.6,6,236,156,1112,-1,Chris Gayle,Cheteshwar Pujara,Sandeep Sharma,,,,35.210,0,0,,n,8.798,-0.179,0.254,0.848,5,5,West Indian,Indian,Indian,1979-09-21,1988-01-25,1993-05-18,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,3.1,1,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,36.151,0,0,,y,6.104,-0.276,-0.208,0.550,50,41,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,3.2,2,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,27.949,0,0,,y,5.828,-0.294,-0.039,0.633,50,41,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,3.3,3,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,33.912,1,1,,y,12.887,-0.441,0.165,1.867,72,38,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,3.4,4,236,156,194,-1,Chris Gayle,Cheteshwar Pujara,Azhar Mahmood,,,,35.893,1,1,,n,7.397,-0.321,0.026,0.718,12,47,West Indian,Indian,Pakistani,1979-09-21,1988-01-25,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,3.5,5,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,36.497,0,0,,y,7.013,-0.244,0.070,0.600,67,46,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,3.6,6,156,236,194,-1,Cheteshwar Pujara,Chris Gayle,Azhar Mahmood,,,,-1.000,1,1,,y,,,,,84,50,Indian,West Indian,Pakistani,1988-01-25,1979-09-21,1975-02-28,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,4.1,1,156,236,1112,-1,Cheteshwar Pujara,Chris Gayle,Sandeep Sharma,,,,-1.000,0,0,,y,,,,,35,43,Indian,West Indian,Indian,1988-01-25,1979-09-21,1993-05-18,63,2013-05-14 19:38:27.325000
RCB,KXIP,1,4.2,2,156,236,1112,-1,Cheteshwar Pujara,Chris Gayle,Sandeep Sharma,,,,-1.000,4,4,,y,7.762,-0.091,0.120,0.705,88,19,Indian,West Indian,Indian,1988-01-25,1979-09-21,1993-05-18,63,2013-05-14 19:38:27.325000
