batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
KXIP,KKR,1,1.1,1,65,72,87,-1,Adam Gilchrist,Mandeep Singh,Lakshmipathy Balaji,,,,-1.000,1,0,Wd,n,,,,,5,5,Australian,Indian,Indian,1971-11-14,1991-12-18,1981-09-27,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,1.2,1,65,72,87,-1,Adam Gilchrist,Mandeep Singh,Lakshmipathy Balaji,,,,-1.000,0,0,,n,,,,,5,5,Australian,Indian,Indian,1971-11-14,1991-12-18,1981-09-27,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,1.3,2,65,72,87,-1,Adam Gilchrist,Mandeep Singh,Lakshmipathy Balaji,,,,36.634,0,0,,n,6.993,-0.208,-0.028,0.726,44,50,Australian,Indian,Indian,1971-11-14,1991-12-18,1981-09-27,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,1.4,3,65,72,87,-1,Adam Gilchrist,Mandeep Singh,Lakshmipathy Balaji,,,,37.214,0,0,,n,7.755,-0.205,0.018,0.782,50,39,Australian,Indian,Indian,1971-11-14,1991-12-18,1981-09-27,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,1.5,4,65,72,87,-1,Adam Gilchrist,Mandeep Singh,Lakshmipathy Balaji,,,,34.248,0,0,,n,7.542,-0.192,0.229,0.674,58,40,Australian,Indian,Indian,1971-11-14,1991-12-18,1981-09-27,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,1.6,5,65,72,87,-1,Adam Gilchrist,Mandeep Singh,Lakshmipathy Balaji,,,,37.169,0,0,,n,6.145,0.286,0.729,0.619,66,28,Australian,Indian,Indian,1971-11-14,1991-12-18,1981-09-27,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,1.7,6,65,72,87,-1,Adam Gilchrist,Mandeep Singh,Lakshmipathy Balaji,,,,37.466,0,0,,n,7.365,-0.137,0.293,0.846,64,27,Australian,Indian,Indian,1971-11-14,1991-12-18,1981-09-27,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,2.1,1,72,65,198,-1,Mandeep Singh,Adam Gilchrist,Jacques Kallis,,,,34.804,0,0,,y,7.339,-0.574,-0.560,0.619,5,5,Indian,Australian,South African,1991-12-18,1971-11-14,1975-10-16,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,2.2,2,72,65,198,-1,Mandeep Singh,Adam Gilchrist,Jacques Kallis,,,,34.613,0,0,,y,9.922,-0.308,-0.036,0.781,44,25,Indian,Australian,South African,1991-12-18,1971-11-14,1975-10-16,20,2013-04-17 00:29:11.555000
KXIP,KKR,1,2.3,3,72,65,198,-1,Mandeep Singh,Adam Gilchrist,Jacques Kallis,,,,35.969,4,4,,y,9.498,-0.523,-0.661,1.031,79,80,Indian,Australian,South African,1991-12-18,1971-11-14,1975-10-16,20,2013-04-17 00:29:11.555000
