batting_team,bowling_team,inning,ovr,ovr_ball_num,batsman_id,non_striker_id,bowler_id,player_out_id,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,batsman_dob,non_striker_dob,bowler_dob,match_id,game_end_time
RCB,KKR,1,1.1,1,156,236,811,-1,Cheteshwar Pujara,Chris Gayle,Sachithra Senanayake,,,,24.651,0,0,,y,4.774,-0.169,-0.013,0.720,5,5,Indian,West Indian,Sri Lankan,1988-01-25,1979-09-21,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,1.2,2,156,236,811,-1,Cheteshwar Pujara,Chris Gayle,Sachithra Senanayake,,,,-1.000,0,0,,y,,,,,40,40,Indian,West Indian,Sri Lankan,1988-01-25,1979-09-21,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,1.3,3,156,236,811,-1,Cheteshwar Pujara,Chris Gayle,Sachithra Senanayake,,,,-1.000,0,0,,y,4.556,-0.204,-0.313,0.686,51,41,Indian,West Indian,Sri Lankan,1988-01-25,1979-09-21,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,1.4,4,156,236,811,-1,Cheteshwar Pujara,Chris Gayle,Sachithra Senanayake,,,,27.417,1,1,,y,6.430,0.015,-0.142,0.588,70,70,Indian,West Indian,Sri Lankan,1988-01-25,1979-09-21,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,1.5,5,236,156,811,-1,Chris Gayle,Cheteshwar Pujara,Sachithra Senanayake,,,,26.622,1,1,,n,4.464,0.018,-0.043,0.579,24,58,West Indian,Indian,Sri Lankan,1979-09-21,1988-01-25,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,1.6,6,156,236,811,-1,Cheteshwar Pujara,Chris Gayle,Sachithra Senanayake,,,,22.692,1,1,,y,2.271,-0.046,-0.278,0.913,82,51,Indian,West Indian,Sri Lankan,1988-01-25,1979-09-21,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,2.1,1,156,236,87,-1,Cheteshwar Pujara,Chris Gayle,Lakshmipathy Balaji,,,,-1.000,0,0,,y,8.326,-0.384,-0.068,0.717,58,57,Indian,West Indian,Indian,1988-01-25,1979-09-21,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,2.2,2,156,236,87,-1,Cheteshwar Pujara,Chris Gayle,Lakshmipathy Balaji,,,,34.889,0,0,,y,8.030,-0.545,-0.444,0.947,34,30,Indian,West Indian,Indian,1988-01-25,1979-09-21,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,2.3,3,156,236,87,-1,Cheteshwar Pujara,Chris Gayle,Lakshmipathy Balaji,,,,35.723,1,1,,y,8.052,-0.510,-0.556,0.827,18,18,Indian,West Indian,Indian,1988-01-25,1979-09-21,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,2.4,4,236,156,87,-1,Chris Gayle,Cheteshwar Pujara,Lakshmipathy Balaji,,,,32.301,0,0,,n,8.371,-0.213,0.354,0.954,5,5,West Indian,Indian,Indian,1979-09-21,1988-01-25,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,2.5,5,236,156,87,-1,Chris Gayle,Cheteshwar Pujara,Lakshmipathy Balaji,,,,36.293,1,1,,n,8.785,-0.350,-0.040,0.793,31,46,West Indian,Indian,Indian,1979-09-21,1988-01-25,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,2.6,6,156,236,87,-1,Cheteshwar Pujara,Chris Gayle,Lakshmipathy Balaji,,,,35.526,0,0,,y,8.042,-0.393,-0.201,0.708,50,41,Indian,West Indian,Indian,1988-01-25,1979-09-21,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,3.1,1,236,156,811,-1,Chris Gayle,Cheteshwar Pujara,Sachithra Senanayake,,,,23.955,0,0,,n,5.497,0.043,-0.102,0.530,32,27,West Indian,Indian,Sri Lankan,1979-09-21,1988-01-25,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,3.2,2,236,156,811,-1,Chris Gayle,Cheteshwar Pujara,Sachithra Senanayake,,,,24.539,4,4,,n,6.375,0.275,0.373,0.694,61,6,West Indian,Indian,Sri Lankan,1979-09-21,1988-01-25,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,3.3,3,236,156,811,-1,Chris Gayle,Cheteshwar Pujara,Sachithra Senanayake,,,,24.207,0,0,,n,7.058,0.173,0.249,0.697,56,38,West Indian,Indian,Sri Lankan,1979-09-21,1988-01-25,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,3.4,4,236,156,811,-1,Chris Gayle,Cheteshwar Pujara,Sachithra Senanayake,,,,25.140,0,0,,n,5.599,0.154,0.262,0.629,61,40,West Indian,Indian,Sri Lankan,1979-09-21,1988-01-25,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,3.5,5,236,156,811,-1,Chris Gayle,Cheteshwar Pujara,Sachithra Senanayake,,,,24.328,1,1,,n,4.471,0.144,0.071,0.408,24,49,West Indian,Indian,Sri Lankan,1979-09-21,1988-01-25,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,3.6,6,156,236,811,-1,Cheteshwar Pujara,Chris Gayle,Sachithra Senanayake,,,,24.131,1,1,,y,3.357,0.002,-0.021,0.504,60,78,Indian,West Indian,Sri Lankan,1988-01-25,1979-09-21,1985-02-09,60,2013-05-12 23:53:34.010000
RCB,KKR,1,4.1,1,156,236,87,-1,Cheteshwar Pujara,Chris Gayle,Lakshmipathy Balaji,,,,35.391,0,0,,y,9.307,-0.456,-0.072,0.810,44,62,Indian,West Indian,Indian,1988-01-25,1979-09-21,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,4.2,2,156,236,87,-1,Cheteshwar Pujara,Chris Gayle,Lakshmipathy Balaji,,,,36.898,0,0,,y,7.654,-0.420,0.060,0.707,42,28,Indian,West Indian,Indian,1988-01-25,1979-09-21,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,4.3,3,156,236,87,-1,Cheteshwar Pujara,Chris Gayle,Lakshmipathy Balaji,,,,35.953,1,1,,y,9.821,-0.562,-0.315,1.134,29,15,Indian,West Indian,Indian,1988-01-25,1979-09-21,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,4.4,4,236,156,87,-1,Chris Gayle,Cheteshwar Pujara,Lakshmipathy Balaji,,,,31.655,0,0,,n,7.904,-0.065,0.507,0.838,5,5,West Indian,Indian,Indian,1979-09-21,1988-01-25,1981-09-27,60,2013-05-12 23:53:34.010000
RCB,KKR,1,4.5,5,236,156,87,-1,Chris Gayle,Cheteshwar Pujara,Lakshmipathy Balaji,,,,31.356,0,0,,n,8.265,-0.224,0.273,0.766,61,40,West Indian,Indian,Indian,1979-09-21,1988-01-25,1981-09-27,60,2013-05-12 23:53:34.010000
