,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets
0,KXIP,RCB,1,1.1,Virender Sehwag,Mandeep Singh,Mitchell Starc,,,,141.34600536968,4,4,,True,5.444,-0.345,-0.433,0.46399999999999997,27.0,9.0,Indian,Indian,Australian,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,24.28767123287671,1,False,False,False,False,True,False,0,False,,4.0,1.0,0.0
1,KXIP,RCB,1,1.2,Virender Sehwag,Mandeep Singh,Mitchell Starc,,,,143.12936289727998,0,0,,True,4.895,-0.292,-0.366,0.551,31.0,38.0,Indian,Indian,Australian,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,24.28767123287671,1,True,False,False,False,False,False,0,False,,4.0,2.0,0.0
2,KXIP,RCB,1,1.3,Virender Sehwag,Mandeep Singh,Mitchell Starc,,,,144.23180209616,0,0,,True,5.57,-0.392,-0.746,0.679,,,Indian,Indian,Australian,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,24.28767123287671,1,True,False,False,False,False,False,0,False,,4.0,3.0,0.0
3,KXIP,RCB,1,1.4,Virender Sehwag,Mandeep Singh,Mitchell Starc,,,,141.6126083132,4,4,,True,6.943,0.16,0.243,0.787,63.0,7.0,Indian,Indian,Australian,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,24.28767123287671,1,False,False,False,False,True,False,0,False,,8.0,4.0,0.0
4,KXIP,RCB,1,1.5,Virender Sehwag,Mandeep Singh,Mitchell Starc,,,,142.97444497064,1,0,Wd,True,6.558,0.215,0.381,0.693,,,Indian,Indian,Australian,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,24.28767123287671,0,False,False,False,False,False,False,0,False,,9.0,4.0,0.0
5,KXIP,RCB,1,1.6,Virender Sehwag,Mandeep Singh,Mitchell Starc,,,,143.74182911888,1,0,Lb,True,5.312,0.233,0.295,0.565,74.0,31.0,Indian,Indian,Australian,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,24.28767123287671,1,False,False,False,False,False,False,0,False,,10.0,5.0,0.0
6,KXIP,RCB,1,1.7,Mandeep Singh,Virender Sehwag,Mitchell Starc,,,,144.81544637791998,0,0,,True,6.044,-0.106,-0.331,0.706,,,Indian,Indian,Australian,31,Chinnaswamy,2014-05-09 00:00:00,22.405479452054795,35.57534246575342,24.28767123287671,1,True,False,False,False,False,False,0,False,,10.0,6.0,0.0
7,KXIP,RCB,1,2.1,Virender Sehwag,Mandeep Singh,Albie Morkel,,,,132.98764281607998,0,0,,True,10.12,-0.152,0.183,1.214,,,Indian,Indian,South African,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,32.93424657534246,1,True,False,False,False,False,False,0,False,,10.0,7.0,0.0
8,KXIP,RCB,1,2.2,Virender Sehwag,Mandeep Singh,Albie Morkel,,,,135.80859017792,4,4,,True,8.662,-0.196,0.055999999999999994,0.912,78.0,11.0,Indian,Indian,South African,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,32.93424657534246,1,False,False,False,False,True,False,0,False,,14.0,8.0,0.0
9,KXIP,RCB,1,2.3,Virender Sehwag,Mandeep Singh,Albie Morkel,,,,136.16526168344,1,1,,True,8.234,-0.39,-0.29100000000000004,0.946,20.0,26.0,Indian,Indian,South African,31,Chinnaswamy,2014-05-09 00:00:00,35.57534246575342,22.405479452054795,32.93424657534246,1,False,True,False,False,False,False,0,False,,15.0,9.0,0.0
10,KXIP,RCB,1,2.4,Mandeep Singh,Virender Sehwag,Albie Morkel,,,,134.51160288512,0,0,,True,8.497,-0.48200000000000004,-0.31,1.03,34.0,42.0,Indian,Indian,South African,31,Chinnaswamy,2014-05-09 00:00:00,22.405479452054795,35.57534246575342,32.93424657534246,1,True,False,False,False,False,False,0,False,,15.0,10.0,0.0
11,KXIP,RCB,1,2.5,Mandeep Singh,Virender Sehwag,Albie Morkel,,,,134.54402756744,1,1,,True,8.527000000000001,-0.195,0.198,0.81,61.0,23.0,Indian,Indian,South African,31,Chinnaswamy,2014-05-09 00:00:00,22.405479452054795,35.57534246575342,32.93424657534246,1,False,True,False,False,False,False,0,False,,16.0,11.0,0.0
