,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets
0,KKR,KXIP,1,1.1,Robin Uthappa,Gautam Gambhir,Parvinder Awana,,,,136.84618001215998,0,0,,True,5.352,-0.073,0.21600000000000003,0.6990000000000001,,,Indian,Indian,Indian,57,Eden Gardens,2014-05-28 00:00:00,28.561643835616437,32.64109589041096,27.876712328767123,1,True,False,False,False,False,False,0,False,,0.0,1.0,0.0
1,KKR,KXIP,1,1.2,Robin Uthappa,Gautam Gambhir,Parvinder Awana,,,,137.4874681736,1,1,,True,0.59,-0.534,-0.536,0.10800000000000001,30.0,16.0,Indian,Indian,Indian,57,Eden Gardens,2014-05-28 00:00:00,28.561643835616437,32.64109589041096,27.876712328767123,1,False,True,False,False,False,False,0,False,,1.0,2.0,0.0
2,KKR,KXIP,1,1.3,Gautam Gambhir,Robin Uthappa,Parvinder Awana,,,,135.23935686608,1,1,,False,8.161,0.068,-0.106,0.996,54.0,24.0,Indian,Indian,Indian,57,Eden Gardens,2014-05-28 00:00:00,32.64109589041096,28.561643835616437,27.876712328767123,1,False,True,False,False,False,False,0,False,,2.0,3.0,0.0
3,KKR,KXIP,1,1.4,Robin Uthappa,Gautam Gambhir,Parvinder Awana,,,,134.27382188144003,0,0,,True,5.733,-0.22,-0.135,0.61,50.0,43.0,Indian,Indian,Indian,57,Eden Gardens,2014-05-28 00:00:00,28.561643835616437,32.64109589041096,27.876712328767123,1,True,False,False,False,False,False,0,False,,2.0,4.0,0.0
4,KKR,KXIP,1,1.5,Robin Uthappa,Gautam Gambhir,Parvinder Awana,,,,137.80811225432,0,0,,True,10.867,-0.366,0.073,1.4569999999999999,,,Indian,Indian,Indian,57,Eden Gardens,2014-05-28 00:00:00,28.561643835616437,32.64109589041096,27.876712328767123,1,True,False,False,False,False,False,0,False,,2.0,5.0,0.0
5,KKR,KXIP,1,1.6,Robin Uthappa,Gautam Gambhir,Parvinder Awana,,,,132.98764281607998,0,0,,True,8.896,-0.34,-0.22,1.031,64.0,37.0,Indian,Indian,Indian,57,Eden Gardens,2014-05-28 00:00:00,28.561643835616437,32.64109589041096,27.876712328767123,1,True,False,False,False,False,False,0,False,,2.0,6.0,0.0
6,KKR,KXIP,1,2.1,Gautam Gambhir,Robin Uthappa,Mitchell Johnson,,,,144.56325440432,0,0,,False,6.687,-0.255,0.10400000000000001,0.8170000000000001,,,Indian,Indian,Australian,57,Eden Gardens,2014-05-28 00:00:00,32.64109589041096,28.561643835616437,32.58904109589041,1,True,False,False,False,False,False,0,False,,2.0,7.0,0.0
7,KKR,KXIP,1,2.2,Gautam Gambhir,Robin Uthappa,Mitchell Johnson,c George Bailey b Mitchell Johnson,Gautam Gambhir,caught fielder,149.38372384256,0,0,,False,10.354000000000001,-0.38799999999999996,-0.522,1.381,,,Indian,Indian,Australian,57,Eden Gardens,2014-05-28 00:00:00,32.64109589041096,28.561643835616437,32.58904109589041,1,True,False,False,False,False,False,1,True,,2.0,8.0,1.0
8,KKR,KXIP,1,2.3,Manish Pandey,Robin Uthappa,Mitchell Johnson,,,,143.6841852392,1,1,,True,11.005999999999998,-0.019,-0.31,1.416,26.0,15.0,Indian,Indian,Australian,57,Eden Gardens,2014-05-28 00:00:00,24.72876712328767,28.561643835616437,32.58904109589041,1,False,True,False,False,False,False,0,False,,3.0,9.0,1.0
9,KKR,KXIP,1,2.4,Robin Uthappa,Manish Pandey,Mitchell Johnson,,,,,1,1,,True,,,,,68.0,10.0,Indian,Indian,Australian,57,Eden Gardens,2014-05-28 00:00:00,28.561643835616437,24.72876712328767,32.58904109589041,1,False,True,False,False,False,False,0,False,,4.0,10.0,1.0
