,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets
0,MI,CSK,1,1.1,Lendl Simmons,Michael Hussey,Ashish Nehra,,,,128.48421471608,1,1,,True,8.571,-0.085,-0.102,1.297,66.0,41.0,West Indian,Australian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,29.356164383561644,39.03013698630137,35.104109589041094,1,False,True,False,False,False,False,0,False,,1.0,1.0,0.0
1,MI,CSK,1,1.2,Michael Hussey,Lendl Simmons,Ashish Nehra,,,,129.77039378144002,1,1,,False,8.748,-0.039,0.265,1.014,22.0,19.0,Australian,West Indian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,39.03013698630137,29.356164383561644,35.104109589041094,1,False,True,False,False,False,False,0,False,,2.0,2.0,0.0
2,MI,CSK,1,1.3,Lendl Simmons,Michael Hussey,Ashish Nehra,,,,135.19612395631998,4,4,,True,8.617,0.113,0.061,0.9309999999999999,92.0,52.0,West Indian,Australian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,29.356164383561644,39.03013698630137,35.104109589041094,1,False,False,False,False,True,False,0,False,,6.0,3.0,0.0
3,MI,CSK,1,1.4,Lendl Simmons,Michael Hussey,Ashish Nehra,,,,136.36341251984,0,0,,True,7.8,0.168,0.263,0.7929999999999999,,,West Indian,Australian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,29.356164383561644,39.03013698630137,35.104109589041094,1,True,False,False,False,False,False,0,False,,6.0,4.0,0.0
4,MI,CSK,1,1.5,Lendl Simmons,Michael Hussey,Ashish Nehra,,,,135.68249419112,0,0,,True,9.115,0.21100000000000002,0.306,1.069,,,West Indian,Australian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,29.356164383561644,39.03013698630137,35.104109589041094,1,True,False,False,False,False,False,0,False,,6.0,5.0,0.0
5,MI,CSK,1,1.6,Lendl Simmons,Michael Hussey,Ashish Nehra,,,,135.23935686608,0,0,,True,6.642,0.034,-0.159,0.6829999999999999,41.0,38.0,West Indian,Australian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,29.356164383561644,39.03013698630137,35.104109589041094,1,True,False,False,False,False,False,0,False,,6.0,6.0,0.0
6,MI,CSK,1,2.1,Michael Hussey,Lendl Simmons,Ishwar Pandey,,,,132.34275191216,0,0,,False,8.043,0.019,-0.034,0.877,54.0,35.0,Australian,West Indian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,39.03013698630137,29.356164383561644,24.8,1,True,False,False,False,False,False,0,False,,6.0,7.0,0.0
7,MI,CSK,1,2.2,Michael Hussey,Lendl Simmons,Ishwar Pandey,,,,134.52601385504002,0,0,,False,7.774,0.11800000000000001,0.027000000000000003,0.9620000000000001,48.0,40.0,Australian,West Indian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,39.03013698630137,29.356164383561644,24.8,1,True,False,False,False,False,False,0,False,,6.0,8.0,0.0
8,MI,CSK,1,2.3,Michael Hussey,Lendl Simmons,Ishwar Pandey,,,,134.79261679855998,1,0,Lb,False,5.28,0.201,0.321,0.632,36.0,33.0,Australian,West Indian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,39.03013698630137,29.356164383561644,24.8,1,False,False,False,False,False,False,0,False,,7.0,9.0,0.0
9,MI,CSK,1,2.4,Lendl Simmons,Michael Hussey,Ishwar Pandey,,,,135.5780146592,4,4,,True,8.667,-0.456,-0.645,1.125,8.0,55.0,West Indian,Australian,Indian,58,Brabourne Stadium,2014-05-28 00:00:00,29.356164383561644,39.03013698630137,24.8,1,False,False,False,False,True,False,0,False,,11.0,10.0,0.0
