,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets
0,KXIP,SRH,1,1.1,Cheteshwar Pujara,Virender Sehwag,Dale Steyn,,,,,1,1,,True,,,,,16.0,20.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,30.84109589041096,1,False,True,False,False,False,False,0,False,,1.0,1.0,0.0
1,KXIP,SRH,1,1.2,Virender Sehwag,Cheteshwar Pujara,Dale Steyn,,,,134.61968515952,0,0,,True,8.183,-0.415,-0.794,1.026,,,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,30.84109589041096,1,True,False,False,False,False,False,0,False,,1.0,2.0,0.0
2,KXIP,SRH,1,1.3,Virender Sehwag,Cheteshwar Pujara,Dale Steyn,,,,137.19564603272002,0,0,,True,7.972,-0.46799999999999997,-0.863,0.9279999999999999,,,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,30.84109589041096,1,True,False,False,False,False,False,0,False,,1.0,3.0,0.0
3,KXIP,SRH,1,1.4,Virender Sehwag,Cheteshwar Pujara,Dale Steyn,,,,143.73102089144,0,0,,True,10.619000000000002,-0.282,-0.43799999999999994,1.131,41.0,36.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,30.84109589041096,1,True,False,False,False,False,False,0,False,,1.0,4.0,0.0
4,KXIP,SRH,1,1.5,Virender Sehwag,Cheteshwar Pujara,Dale Steyn,,,,139.09789406215998,0,0,,True,7.568,0.025,0.008,0.695,50.0,37.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,30.84109589041096,1,True,False,False,False,False,False,0,False,,1.0,5.0,0.0
5,KXIP,SRH,1,1.6,Virender Sehwag,Cheteshwar Pujara,Dale Steyn,,,,139.95534677240002,1,1,,True,10.579,-0.133,0.013999999999999999,1.219,58.0,37.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,30.84109589041096,1,False,True,False,False,False,False,0,False,,2.0,6.0,0.0
6,KXIP,SRH,1,2.1,Virender Sehwag,Cheteshwar Pujara,Bhuvneshwar Kumar,,,,132.02210783144002,1,1,,True,7.388,-0.41200000000000003,-0.444,0.8029999999999999,26.0,15.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,23.394520547945206,1,False,True,False,False,False,False,0,False,,3.0,7.0,0.0
7,KXIP,SRH,1,2.2,Cheteshwar Pujara,Virender Sehwag,Bhuvneshwar Kumar,,,,128.67876281,0,0,,True,7.519,-0.44299999999999995,-0.539,0.753,,,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,23.394520547945206,1,True,False,False,False,False,False,0,False,,3.0,8.0,0.0
8,KXIP,SRH,1,2.3,Cheteshwar Pujara,Virender Sehwag,Bhuvneshwar Kumar,,,,130.75394247848,0,0,,True,7.4510000000000005,-0.40399999999999997,-0.502,0.716,,,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,23.394520547945206,1,True,False,False,False,False,False,0,False,,3.0,9.0,0.0
9,KXIP,SRH,1,2.4,Cheteshwar Pujara,Virender Sehwag,Bhuvneshwar Kumar,,,,130.08022963472,0,0,,True,7.52,-0.442,-0.5379999999999999,0.628,37.0,32.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,23.394520547945206,1,True,False,False,False,False,False,0,False,,3.0,10.0,0.0
10,KXIP,SRH,1,2.5,Cheteshwar Pujara,Virender Sehwag,Bhuvneshwar Kumar,,,,129.83884588855997,0,0,,True,6.982,-0.434,-0.581,0.6970000000000001,33.0,34.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,23.394520547945206,1,True,False,False,False,False,False,0,False,,3.0,11.0,0.0
11,KXIP,SRH,1,2.6,Cheteshwar Pujara,Virender Sehwag,Bhuvneshwar Kumar,,,,137.18844054775997,0,0,,True,8.261000000000001,-0.46399999999999997,-0.314,0.703,33.0,32.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,23.394520547945206,1,True,False,False,False,False,False,0,False,,3.0,12.0,0.0
12,KXIP,SRH,1,3.1,Virender Sehwag,Cheteshwar Pujara,Irfan Pathan,,,,122.02810019192002,1,1,,True,7.636,-0.0,-0.083,0.527,35.0,35.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,29.504109589041096,1,False,True,False,False,False,False,0,False,,4.0,13.0,0.0
13,KXIP,SRH,1,3.2,Cheteshwar Pujara,Virender Sehwag,Irfan Pathan,,,,128.48421471608,1,1,,True,11.741,-0.062,-0.747,1.295,35.0,11.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,29.504109589041096,1,False,True,False,False,False,False,0,False,,5.0,14.0,0.0
14,KXIP,SRH,1,3.3,Virender Sehwag,Cheteshwar Pujara,Irfan Pathan,,,,127.50066601904001,6,6,,True,10.067,0.196,0.139,1.135,85.0,17.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,29.504109589041096,1,False,False,False,False,False,True,0,False,,11.0,15.0,0.0
15,KXIP,SRH,1,3.4,Virender Sehwag,Cheteshwar Pujara,Irfan Pathan,,,,133.28306769943998,4,4,,True,10.49,0.228,0.138,0.9990000000000001,92.0,27.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,29.504109589041096,1,False,False,False,False,True,False,0,False,,15.0,16.0,0.0
16,KXIP,SRH,1,3.5,Virender Sehwag,Cheteshwar Pujara,Irfan Pathan,,,,,0,0,,True,9.237,-0.141,-0.593,0.992,32.0,38.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,29.504109589041096,1,True,False,False,False,False,False,0,False,,15.0,17.0,0.0
17,KXIP,SRH,1,3.6,Virender Sehwag,Cheteshwar Pujara,Irfan Pathan,,,,128.9669822084,4,4,,True,7.805,-0.193,-0.44799999999999995,0.5920000000000001,42.0,94.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,29.504109589041096,1,False,False,False,False,True,False,0,False,,19.0,18.0,0.0
18,KXIP,SRH,1,4.1,Cheteshwar Pujara,Virender Sehwag,Bhuvneshwar Kumar,,,,126.71887090087999,1,1,,True,7.925,-0.295,-0.066,0.595,51.0,59.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,23.394520547945206,1,False,True,False,False,False,False,0,False,,20.0,19.0,0.0
19,KXIP,SRH,1,4.2,Virender Sehwag,Cheteshwar Pujara,Bhuvneshwar Kumar,,,,,0,0,,True,,,,,39.0,35.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,23.394520547945206,1,True,False,False,False,False,False,0,False,,20.0,20.0,0.0
20,KXIP,SRH,1,4.3,Virender Sehwag,Cheteshwar Pujara,Bhuvneshwar Kumar,,,,,0,0,,True,,,,,,,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,23.394520547945206,1,True,False,False,False,False,False,0,False,,20.0,21.0,0.0
21,KXIP,SRH,1,4.4,Virender Sehwag,Cheteshwar Pujara,Bhuvneshwar Kumar,,,,127.29891244016,0,0,,True,6.973,-0.349,-0.40399999999999997,1.046,,,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,23.394520547945206,1,True,False,False,False,False,False,0,False,,20.0,22.0,0.0
22,KXIP,SRH,1,4.5,Virender Sehwag,Cheteshwar Pujara,Bhuvneshwar Kumar,,,,,0,0,,True,,,,,,,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,23.394520547945206,1,True,False,False,False,False,False,0,False,,20.0,23.0,0.0
23,KXIP,SRH,1,4.6,Virender Sehwag,Cheteshwar Pujara,Bhuvneshwar Kumar,,,,134.12971218224,6,6,,True,12.597999999999999,-0.424,-0.051,1.349,77.0,11.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,23.394520547945206,1,False,False,False,False,False,True,0,False,,26.0,24.0,0.0
24,KXIP,SRH,1,5.1,Cheteshwar Pujara,Virender Sehwag,Dale Steyn,,,,136.15085071352,4,4,,True,6.545,-0.195,-0.049,0.644,88.0,67.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,30.84109589041096,1,False,False,False,False,True,False,0,False,,30.0,25.0,0.0
25,KXIP,SRH,1,5.2,Cheteshwar Pujara,Virender Sehwag,Dale Steyn,,,,,0,0,,True,,,,,34.0,34.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,30.84109589041096,1,True,False,False,False,False,False,0,False,,30.0,26.0,0.0
26,KXIP,SRH,1,5.3,Cheteshwar Pujara,Virender Sehwag,Dale Steyn,,,,,4,4,,True,6.933,-0.17800000000000002,-0.147,0.5479999999999999,82.0,75.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,30.84109589041096,1,False,False,False,False,True,False,0,False,,34.0,27.0,0.0
27,KXIP,SRH,1,5.4,Cheteshwar Pujara,Virender Sehwag,Dale Steyn,,,,139.87248369536,4,4,,True,6.4910000000000005,0.06,0.324,0.782,71.0,10.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,30.84109589041096,1,False,False,False,False,True,False,0,False,,38.0,28.0,0.0
28,KXIP,SRH,1,5.5,Cheteshwar Pujara,Virender Sehwag,Dale Steyn,,,,143.62293861704,0,0,,True,8.949,-0.441,-0.664,1.234,,,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,30.84109589041096,1,True,False,False,False,False,False,0,False,,38.0,29.0,0.0
29,KXIP,SRH,1,5.6,Cheteshwar Pujara,Virender Sehwag,Dale Steyn,,,,141.63422476807997,0,0,,True,8.131,-0.47600000000000003,-0.611,0.7709999999999999,44.0,26.0,Indian,Indian,South African,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,30.84109589041096,1,True,False,False,False,False,False,0,False,,38.0,30.0,0.0
30,KXIP,SRH,1,6.1,Virender Sehwag,Cheteshwar Pujara,Karan Sharma,,,,90.38521299007999,0,0,,True,5.547999999999999,0.18899999999999997,0.16899999999999998,0.38,36.0,40.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,26.515068493150686,1,True,False,False,False,False,False,0,False,,38.0,31.0,0.0
31,KXIP,SRH,1,6.2,Virender Sehwag,Cheteshwar Pujara,Karan Sharma,,,,,0,0,,True,,,,,,,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,26.515068493150686,1,True,False,False,False,False,False,0,False,,38.0,32.0,0.0
32,KXIP,SRH,1,6.3,Virender Sehwag,Cheteshwar Pujara,Karan Sharma,,,,88.1118824852,1,0,Lb,True,4.277,0.187,0.667,0.5870000000000001,62.0,32.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,26.515068493150686,1,False,False,False,False,False,False,0,False,,39.0,33.0,0.0
33,KXIP,SRH,1,6.4,Cheteshwar Pujara,Virender Sehwag,Karan Sharma,,,,85.7520861608,0,0,,True,7.272,0.10099999999999999,-0.133,0.624,38.0,39.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,26.515068493150686,1,True,False,False,False,False,False,0,False,,39.0,34.0,0.0
34,KXIP,SRH,1,6.5,Cheteshwar Pujara,Virender Sehwag,Karan Sharma,,,,,4,4,,True,,,,,84.0,16.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,26.515068493150686,1,False,False,False,False,True,False,0,False,,43.0,35.0,0.0
35,KXIP,SRH,1,6.6,Cheteshwar Pujara,Virender Sehwag,Karan Sharma,,,,,0,0,,True,,,,,49.0,39.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,26.257534246575343,35.52876712328767,26.515068493150686,1,True,False,False,False,False,False,0,False,,43.0,36.0,0.0
36,KXIP,SRH,1,7.1,Virender Sehwag,Cheteshwar Pujara,Amit Mishra,,,,,1,1,,True,,,,,36.0,84.0,Indian,Indian,Indian,09,Sharjah Cricket Stadium,2014-04-22 00:00:00,35.52876712328767,26.257534246575343,31.43013698630137,1,False,True,False,False,False,False,0,False,,44.0,37.0,0.0
