,Unnamed: 0,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets,won
0,0,RR,KKR,1,1.1,Ajinkya Rahane,Karun Nair,Vinay Kumar,,,,125.43269183552002,4,4,,True,4.533,-0.102,0.202,0.495,94.0,29.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,25.93150684931507,22.42739726027397,30.246575342465754,1,False,False,False,False,True,False,0,False,,4.0,1.0,0.0,1.0
1,1,RR,KKR,1,1.2,Ajinkya Rahane,Karun Nair,Vinay Kumar,,,,128.80846153928002,0,0,,True,7.4929999999999986,-0.168,-0.181,0.738,43.0,39.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,25.93150684931507,22.42739726027397,30.246575342465754,1,True,False,False,False,False,False,0,False,,4.0,2.0,0.0,1.0
2,2,RR,KKR,1,1.3,Ajinkya Rahane,Karun Nair,Vinay Kumar,,,,132.98764281607998,1,1,,True,5.922999999999999,-0.016,0.006,0.645,68.0,45.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,25.93150684931507,22.42739726027397,30.246575342465754,1,False,True,False,False,False,False,0,False,,5.0,3.0,0.0,1.0
3,3,RR,KKR,1,1.4,Karun Nair,Ajinkya Rahane,Vinay Kumar,,,,132.19503947048,0,0,,True,7.011,-0.03,-0.043,0.754,59.0,51.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,22.42739726027397,25.93150684931507,30.246575342465754,1,True,False,False,False,False,False,0,False,,5.0,4.0,0.0,1.0
4,4,RR,KKR,1,1.5,Karun Nair,Ajinkya Rahane,Vinay Kumar,,,,133.03808121080002,0,0,,True,8.328,-0.316,-0.505,0.703,,,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,22.42739726027397,25.93150684931507,30.246575342465754,1,True,False,False,False,False,False,0,False,,5.0,5.0,0.0,1.0
5,5,RR,KKR,1,1.6,Karun Nair,Ajinkya Rahane,Vinay Kumar,,,,131.03135364943998,0,0,,True,6.682,0.037000000000000005,0.147,0.664,,,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,22.42739726027397,25.93150684931507,30.246575342465754,1,True,False,False,False,False,False,0,False,,5.0,6.0,0.0,1.0
6,6,RR,KKR,1,2.1,Ajinkya Rahane,Karun Nair,Umesh Yadav,,,,133.4704103084,0,0,,True,7.338999999999999,-0.087,-0.035,0.7190000000000001,66.0,40.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,25.93150684931507,22.42739726027397,26.54520547945205,1,True,False,False,False,False,False,0,False,,5.0,7.0,0.0,1.0
7,7,RR,KKR,1,2.2,Ajinkya Rahane,Karun Nair,Umesh Yadav,,,,141.16226550320005,1,0,Lb,True,8.764,-0.08800000000000001,0.294,0.952,68.0,13.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,25.93150684931507,22.42739726027397,26.54520547945205,1,False,False,False,False,False,False,0,False,,6.0,8.0,0.0,1.0
8,8,RR,KKR,1,2.3,Karun Nair,Ajinkya Rahane,Umesh Yadav,,,,142.18544436751998,4,4,,True,9.515,-0.49,-0.55,0.948,10.0,22.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,22.42739726027397,25.93150684931507,26.54520547945205,1,False,False,False,False,True,False,0,False,,10.0,9.0,0.0,1.0
9,9,RR,KKR,1,2.4,Karun Nair,Ajinkya Rahane,Umesh Yadav,,,,145.5576113288,3,3,,True,6.023,-0.013,0.055,0.57,92.0,37.0,Indian,Indian,Indian,25,Sardar Patel Stadium,2014-05-05,22.42739726027397,25.93150684931507,26.54520547945205,1,False,False,False,True,False,False,0,False,,13.0,10.0,0.0,1.0
