,Unnamed: 0,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets,won
0,0,DD,RR,1,1.1,Quinton de Kock,Murali Vijay,Stuart Binny,,,,118.68115242799999,0,0,,False,5.47,-0.147,-0.321,0.667,54.0,59.0,South African,Indian,Indian,23,Kotla,2014-05-03,21.389041095890416,30.106849315068487,29.93424657534247,1,True,False,False,False,False,False,0,False,,0.0,1.0,0.0,0.0
1,1,DD,RR,1,1.2,Quinton de Kock,Murali Vijay,Stuart Binny,,,,127.4538303668,4,4,,False,2.221,-0.35200000000000004,-0.465,0.4370000000000001,94.0,37.0,South African,Indian,Indian,23,Kotla,2014-05-03,21.389041095890416,30.106849315068487,29.93424657534247,1,False,False,False,False,True,False,0,False,,4.0,2.0,0.0,0.0
2,2,DD,RR,1,1.3,Quinton de Kock,Murali Vijay,Stuart Binny,,,,127.1295835436,1,1,,False,6.382999999999999,0.179,0.078,0.7020000000000001,34.0,43.0,South African,Indian,Indian,23,Kotla,2014-05-03,21.389041095890416,30.106849315068487,29.93424657534247,1,False,True,False,False,False,False,0,False,,5.0,3.0,0.0,0.0
3,3,DD,RR,1,1.4,Murali Vijay,Quinton de Kock,Stuart Binny,,,,127.41059745704,2,2,,True,7.895,-0.425,-0.229,0.987,38.0,9.0,Indian,South African,Indian,23,Kotla,2014-05-03,30.106849315068487,21.389041095890416,29.93424657534247,1,False,False,True,False,False,False,0,False,,7.0,4.0,0.0,0.0
4,4,DD,RR,1,1.5,Murali Vijay,Quinton de Kock,Stuart Binny,,,,129.08947545272002,1,1,,True,0.7070000000000001,0.075,0.097,0.141,88.0,32.0,Indian,South African,Indian,23,Kotla,2014-05-03,30.106849315068487,21.389041095890416,29.93424657534247,1,False,True,False,False,False,False,0,False,,8.0,5.0,0.0,0.0
5,5,DD,RR,1,1.6,Quinton de Kock,Murali Vijay,Stuart Binny,,,,129.47857164056,1,1,,False,5.608,0.275,0.235,0.701,12.0,43.0,South African,Indian,Indian,23,Kotla,2014-05-03,21.389041095890416,30.106849315068487,29.93424657534247,1,False,True,False,False,False,False,0,False,,9.0,6.0,0.0,0.0
6,6,DD,RR,1,2.1,Quinton de Kock,Murali Vijay,Kane Richardson,,,,129.93251719303998,1,1,,False,6.99,0.341,-0.094,0.899,41.0,33.0,South African,Indian,Australian,23,Kotla,2014-05-03,21.389041095890416,30.106849315068487,23.235616438356168,1,False,True,False,False,False,False,0,False,,10.0,7.0,0.0,0.0
7,7,DD,RR,1,2.2,Murali Vijay,Quinton de Kock,Kane Richardson,,,,138.0999343952,4,4,,True,5.229,-0.722,-0.664,0.6629999999999999,10.0,58.0,Indian,South African,Australian,23,Kotla,2014-05-03,30.106849315068487,21.389041095890416,23.235616438356168,1,False,False,False,False,True,False,0,False,,14.0,8.0,0.0,0.0
8,8,DD,RR,1,2.3,Murali Vijay,Quinton de Kock,Kane Richardson,,,,138.64755125215999,1,1,,True,8.075,-0.665,-0.578,0.745,23.0,15.0,Indian,South African,Australian,23,Kotla,2014-05-03,30.106849315068487,21.389041095890416,23.235616438356168,1,False,True,False,False,False,False,0,False,,15.0,9.0,0.0,0.0
9,9,DD,RR,1,2.4,Quinton de Kock,Murali Vijay,Kane Richardson,,,,139.6310999492,0,0,,False,7.247000000000001,0.331,-0.118,0.797,56.0,39.0,South African,Indian,Australian,23,Kotla,2014-05-03,21.389041095890416,30.106849315068487,23.235616438356168,1,True,False,False,False,False,False,0,False,,15.0,10.0,0.0,0.0
