,Unnamed: 0,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets,won
0,0,KXIP,CSK,1,1.1,Virender Sehwag,Manan Vohra,Ashish Nehra,,,,130.25316127375999,1,1,,True,9.5,0.111,0.075,1.114,38.0,33.0,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,35.63287671232877,20.87945205479452,35.109589041095894,1,False,True,False,False,False,False,0,False,,1.0,1.0,0.0,1.0
1,1,KXIP,CSK,1,1.2,Manan Vohra,Virender Sehwag,Ashish Nehra,,,,132.62016308312,4,4,,True,8.738999999999999,0.188,0.174,0.858,60.0,6.0,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,20.87945205479452,35.63287671232877,35.109589041095894,1,False,False,False,False,True,False,0,False,,5.0,2.0,0.0,1.0
2,2,KXIP,CSK,1,1.3,Manan Vohra,Virender Sehwag,Ashish Nehra,,,,132.02210783144,0,0,,True,8.96,0.17600000000000002,0.15,0.831,66.0,34.0,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,20.87945205479452,35.63287671232877,35.109589041095894,1,True,False,False,False,False,False,0,False,,5.0,3.0,0.0,1.0
3,3,KXIP,CSK,1,1.4,Manan Vohra,Virender Sehwag,Ashish Nehra,,,,130.41528468536,1,1,,True,7.444,-0.243,-0.526,0.764,16.0,21.0,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,20.87945205479452,35.63287671232877,35.109589041095894,1,False,True,False,False,False,False,0,False,,6.0,4.0,0.0,1.0
4,4,KXIP,CSK,1,1.5,Virender Sehwag,Manan Vohra,Ashish Nehra,,,,129.77039378144002,0,0,,True,10.934,0.381,0.113,1.22,68.0,32.0,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,35.63287671232877,20.87945205479452,35.109589041095894,1,True,False,False,False,False,False,0,False,,6.0,5.0,0.0,1.0
5,5,KXIP,CSK,1,1.6,Virender Sehwag,Manan Vohra,Ashish Nehra,,,,134.43234255056,4,4,,True,8.993,-0.116,-0.403,0.885,7.0,42.0,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,35.63287671232877,20.87945205479452,35.109589041095894,1,False,False,False,False,True,False,0,False,,10.0,6.0,0.0,1.0
6,6,KXIP,CSK,1,2.1,Manan Vohra,Virender Sehwag,Ishwar Pandey,,,,129.77039378144002,0,0,,True,6.879,-0.479,-0.6829999999999999,0.7979999999999999,,,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,20.87945205479452,35.63287671232877,24.805479452054797,1,True,False,False,False,False,False,0,False,,10.0,7.0,0.0,1.0
7,7,KXIP,CSK,1,2.2,Manan Vohra,Virender Sehwag,Ishwar Pandey,,,,134.27382188144006,0,0,,True,8.401,-0.393,-0.384,0.905,34.0,29.0,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,20.87945205479452,35.63287671232877,24.805479452054797,1,True,False,False,False,False,False,0,False,,10.0,8.0,0.0,1.0
8,8,KXIP,CSK,1,2.3,Manan Vohra,Virender Sehwag,Ishwar Pandey,,,,128.00504996624,0,0,,True,7.715,-0.556,-0.6859999999999999,0.947,,,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,20.87945205479452,35.63287671232877,24.805479452054797,1,True,False,False,False,False,False,0,False,,10.0,9.0,0.0,1.0
9,9,KXIP,CSK,1,2.4,Manan Vohra,Virender Sehwag,Ishwar Pandey,,,,132.34275191216003,0,0,,True,7.18,-0.396,-0.552,0.8059999999999999,,,Indian,Indian,Indian,59,Wankhede Stadium,2014-05-30,20.87945205479452,35.63287671232877,24.805479452054797,1,True,False,False,False,False,False,0,False,,10.0,10.0,0.0,1.0
