,Unnamed: 0,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets,won
0,0,KXIP,KKR,1,1.1,Virender Sehwag,Mandeep Singh,Jacques Kallis,,,,,4,4,,True,5.375,-0.585,-0.6729999999999999,0.514,8.0,49.0,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,35.580821917808215,22.410958904109588,38.594520547945216,1,False,False,False,False,True,False,0,False,,4.0,1.0,0.0,0.0
1,1,KXIP,KKR,1,1.2,Virender Sehwag,Mandeep Singh,Jacques Kallis,,,,134.05405459015998,0,0,,True,4.607,-0.431,-0.477,0.557,,,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,35.580821917808215,22.410958904109588,38.594520547945216,1,True,False,False,False,False,False,0,False,,4.0,2.0,0.0,0.0
2,2,KXIP,KKR,1,1.3,Virender Sehwag,Mandeep Singh,Jacques Kallis,,,,122.12897698135998,1,0,Wd,True,9.868,-0.066,0.454,0.871,,,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,35.580821917808215,22.410958904109588,38.594520547945216,0,False,False,False,False,False,False,0,False,,5.0,2.0,0.0,0.0
3,3,KXIP,KKR,1,1.4,Virender Sehwag,Mandeep Singh,Jacques Kallis,,,,134.41793158064002,4,4,,True,4.565,0.019,0.231,0.34600000000000003,93.0,25.0,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,35.580821917808215,22.410958904109588,38.594520547945216,1,False,False,False,False,True,False,0,False,,9.0,3.0,0.0,0.0
4,4,KXIP,KKR,1,1.5,Virender Sehwag,Mandeep Singh,Jacques Kallis,,,,145.02080269928,0,0,,True,9.058,-0.403,-0.358,0.947,43.0,39.0,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,35.580821917808215,22.410958904109588,38.594520547945216,1,True,False,False,False,False,False,0,False,,9.0,4.0,0.0,0.0
5,5,KXIP,KKR,1,1.6,Virender Sehwag,Mandeep Singh,Jacques Kallis,,,,135.07723345448,4,4,,True,12.53,-0.221,0.733,1.4509999999999998,85.0,16.0,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,35.580821917808215,22.410958904109588,38.594520547945216,1,False,False,False,False,True,False,0,False,,13.0,5.0,0.0,0.0
6,6,KXIP,KKR,1,1.7,Virender Sehwag,Mandeep Singh,Jacques Kallis,,,,137.51629011344002,4,4,,True,7.9860000000000015,0.024,0.381,0.882,63.0,7.0,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,35.580821917808215,22.410958904109588,38.594520547945216,1,False,False,False,False,True,False,0,False,,17.0,6.0,0.0,0.0
7,7,KXIP,KKR,1,2.1,Mandeep Singh,Virender Sehwag,Morne Morkel,,,,,0,0,,True,,,,,62.0,37.0,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,22.410958904109588,35.580821917808215,29.61369863013699,1,True,False,False,False,False,False,0,False,,17.0,7.0,0.0,0.0
8,8,KXIP,KKR,1,2.2,Mandeep Singh,Virender Sehwag,Morne Morkel,,,,,0,0,,True,5.5470000000000015,-0.3670000000000001,-0.16399999999999998,0.631,37.0,32.0,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,22.410958904109588,35.580821917808215,29.61369863013699,1,True,False,False,False,False,False,0,False,,17.0,8.0,0.0,0.0
9,9,KXIP,KKR,1,2.3,Mandeep Singh,Virender Sehwag,Morne Morkel,c Robin Uthappa b Morne Morkel,Mandeep Singh,caught keeper,,0,0,,True,6.864,-0.601,-0.526,0.812,,,Indian,Indian,South African,34,Barabati Stadium,2014-05-11,22.410958904109588,35.580821917808215,29.61369863013699,1,True,False,False,False,False,False,1,True,,17.0,9.0,1.0,0.0
