,date,ground,match_id
0,2012-04-04,Chidambaram,01
1,2012-04-05,Eden Gardens,02
2,2012-04-06,Wankhede Stadium,03
3,2012-04-06,Mansingh,04
4,2012-04-07,Chinnaswamy,05
5,2012-04-07,ACA-VDCA Stadium,06
6,2012-04-08,Mansingh,07
7,2012-04-08,MCA International Stadium,08
8,2012-04-09,ACA-VDCA Stadium,09
9,2012-04-10,Chinnaswamy,10
10,2012-04-10,Kotla,11
11,2012-04-11,Wankhede Stadium,12
12,2012-04-12,Chidambaram,13
13,2012-04-12,PCA Stadium,14
14,2012-04-13,Eden Gardens,15
15,2012-04-14,MCA International Stadium,16
16,2012-04-15,Eden Gardens,17
17,2012-04-15,Chinnaswamy,18
18,2012-04-16,Wankhede Stadium,19
19,2012-04-17,Mansingh,20
20,2012-04-17,Chinnaswamy,21
21,2012-04-18,PCA Stadium,22
22,2012-04-19,Kotla,23
23,2012-04-19,Chidambaram,24
24,2012-04-20,PCA Stadium,25
25,2012-04-21,Chidambaram,26
26,2012-04-21,Kotla,27
27,2012-04-22,Wankhede Stadium,28
28,2012-04-22,Barabati Stadium,29
29,2012-04-23,Mansingh,30
30,2012-04-24,MCA International Stadium,31
31,2012-04-24,Eden Gardens,32
32,2012-04-25,PCA Stadium,33
33,2012-04-25,Chinnaswamy,34
34,2012-04-26,MCA International Stadium,35
35,2012-04-27,Kotla,36
36,2012-04-28,Chidambaram,37
37,2012-04-28,Eden Gardens,38
38,2012-04-29,Kotla,39
39,2012-04-29,Wankhede Stadium,40
40,2012-04-30,Chidambaram,41
41,2012-05-01,Barabati Stadium,42
42,2012-05-01,Mansingh,43
43,2012-05-02,Chinnaswamy,44
44,2012-05-03,MCA International Stadium,45
45,2012-05-04,Chidambaram,46
46,2012-05-05,Eden Gardens,47
47,2012-05-05,PCA Stadium,48
48,2012-05-06,Wankhede Stadium,49
49,2012-05-06,Chinnaswamy,50
50,2012-05-07,Kotla,51
51,2012-05-08,MCA International Stadium,52
52,2012-05-08,RGI Stadium,53
53,2012-05-09,Wankhede Stadium,54
54,2012-05-10,RGI Stadium,55
55,2012-05-10,Mansingh,56
56,2012-05-11,MCA International Stadium,57
57,2012-05-12,Eden Gardens,58
58,2012-05-12,Chidambaram,59
59,2012-05-13,Mansingh,60
60,2012-05-13,PCA Stadium,61
61,2012-05-14,Chinnaswamy,62
62,2012-05-14,Eden Gardens,63
63,2012-05-15,Kotla,64
64,2012-05-16,Wankhede Stadium,65
65,2012-05-17,HPCA Stadium,66
66,2012-05-17,Kotla,67
67,2012-05-18,RGI Stadium,68
68,2012-05-19,HPCA Stadium,69
69,2012-05-19,MCA International Stadium,70
70,2012-05-20,RGI Stadium,71
71,2012-05-20,Mansingh,72
72,2012-05-22,MCA International Stadium,73
73,2012-05-23,Chinnaswamy,74
74,2012-05-25,Chidambaram,75
75,2012-05-27,Chidambaram,76
