,date,ground,match_id
0,2013-04-03,Eden Gardens,01
1,2013-04-04,Chinnaswamy,02
2,2013-04-05,RGI Stadium,03
3,2013-04-06,Kotla,04
4,2013-04-06,Chidambaram,05
5,2013-04-07,Subrata Roy,06
6,2013-04-07,RGI Stadium,07
7,2013-04-08,Mansingh,08
8,2013-04-09,Chinnaswamy,09
9,2013-04-09,Wankhede Stadium,10
10,2013-04-10,PCA Stadium,11
11,2013-04-11,Chinnaswamy,12
12,2013-04-11,Subrata Roy,13
13,2013-04-12,Kotla,14
14,2013-04-13,Wankhede Stadium,15
15,2013-04-13,Chidambaram,16
16,2013-04-14,Eden Gardens,17
17,2013-04-14,Mansingh,18
18,2013-04-15,Chidambaram,19
19,2013-04-16,PCA Stadium,20
20,2013-04-16,Chinnaswamy,21
21,2013-04-17,Subrata Roy,22
22,2013-04-17,Mansingh,23
23,2013-04-18,Kotla,24
24,2013-04-19,RGI Stadium,25
25,2013-04-20,Eden Gardens,26
26,2013-04-20,Chinnaswamy,27
27,2013-04-21,Kotla,28
28,2013-04-21,PCA Stadium,29
29,2013-04-22,Chidambaram,30
30,2013-04-23,Chinnaswamy,31
31,2013-04-23,Kotla,32
32,2013-04-24,Eden Gardens,33
33,2013-04-25,Chidambaram,34
34,2013-04-26,Eden Gardens,35
35,2013-04-27,Mansingh,36
36,2013-04-27,Wankhede Stadium,37
37,2013-04-28,Chidambaram,38
38,2013-04-28,CIC Stadium,39
39,2013-04-29,Mansingh,40
40,2013-04-29,Wankhede Stadium,41
41,2013-04-30,Subrata Roy,42
42,2013-05-01,RGI Stadium,43
43,2013-05-01,CIC Stadium,44
44,2013-05-02,Chidambaram,45
45,2013-05-02,Subrata Roy,46
46,2013-05-03,Eden Gardens,47
47,2013-05-04,RGI Stadium,48
48,2013-05-05,Wankhede Stadium,49
49,2013-05-05,Mansingh,50
50,2013-05-06,PCA Stadium,51
51,2013-05-07,Mansingh,52
52,2013-05-07,Wankhede Stadium,53
53,2013-05-08,RGI Stadium,54
54,2013-05-09,PCA Stadium,55
55,2013-05-09,Subrata Roy,56
56,2013-05-10,Kotla,57
57,2013-05-11,Subrata Roy,58
58,2013-05-11,PCA Stadium,59
59,2013-05-12,JSCA Stadium,60
60,2013-05-12,Mansingh,61
61,2013-05-13,Wankhede Stadium,62
62,2013-05-14,Chinnaswamy,63
63,2013-05-14,Chidambaram,64
64,2013-05-15,JSCA Stadium,65
65,2013-05-15,Wankhede Stadium,66
66,2013-05-16,HPCA Stadium,67
67,2013-05-17,RGI Stadium,68
68,2013-05-18,HPCA Stadium,69
69,2013-05-18,Chinnaswamy,70
70,2013-05-19,Subrata Roy,71
71,2013-05-19,RGI Stadium,72
72,2013-05-21,Kotla,73
73,2013-05-22,Kotla,74
74,2013-05-24,Eden Gardens,75
75,2013-05-26,Eden Gardens,76
